RANGE_DISTANCE = 1000
;

N_ROBOTS = 10
;

START =
0
0
0
0
0
0
0
0
0
0
;

VERTEXES = 28
;

VELOCITY = 1
;

POINTS_TO_EXPLORE = 
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
0 13
0 14
0 15
0 16
0 17
0 18
0 19
0 20
0 21
0 22
0 23
0 24
0 25
0 26
0 27
1 2
1 3
1 4
1 5
1 6
1 7
1 8
1 9
1 10
1 11
1 12
1 13
1 14
1 15
1 16
1 17
1 18
1 19
1 20
1 21
1 22
1 23
1 24
1 25
1 26
1 27
2 3
2 4
2 5
2 6
2 7
2 8
2 9
2 10
2 11
2 12
2 13
2 14
2 15
2 16
2 17
2 18
2 19
2 20
2 21
2 22
2 23
2 24
2 25
2 26
2 27
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
3 13
3 14
3 15
3 16
3 17
3 18
3 19
3 20
3 21
3 22
3 23
3 24
3 25
3 26
3 27
4 5
4 6
4 7
4 8
4 9
4 10
4 11
4 12
4 13
4 14
4 15
4 16
4 17
4 18
4 19
4 20
4 21
4 22
4 23
4 24
4 25
4 26
4 27
5 6
5 7
5 8
5 9
5 10
5 11
5 12
5 13
5 14
5 15
5 16
5 17
5 18
5 19
5 20
5 21
5 22
5 23
5 24
5 25
5 26
5 27
6 7
6 8
6 9
6 10
6 11
6 12
6 13
6 14
6 15
6 16
6 17
6 18
6 19
6 20
6 21
6 22
6 23
6 24
6 25
6 26
6 27
7 8
7 9
7 10
7 11
7 12
7 13
7 14
7 15
7 16
7 17
7 18
7 19
7 20
7 21
7 22
7 23
7 24
7 25
7 26
7 27
8 9
8 10
8 11
8 12
8 13
8 14
8 15
8 16
8 17
8 18
8 19
8 20
8 21
8 22
8 23
8 24
8 25
8 26
8 27
9 10
9 11
9 12
9 13
9 14
9 15
9 16
9 17
9 18
9 19
9 20
9 21
9 22
9 23
9 24
9 25
9 26
9 27
10 11
10 12
10 13
10 14
10 15
10 16
10 17
10 18
10 19
10 20
10 21
10 22
10 23
10 24
10 25
10 26
10 27
11 12
11 13
11 14
11 15
11 16
11 17
11 18
11 19
11 20
11 21
11 22
11 23
11 24
11 25
11 26
11 27
12 13
12 14
12 15
12 16
12 17
12 18
12 19
12 20
12 21
12 22
12 23
12 24
12 25
12 26
12 27
13 14
13 15
13 16
13 17
13 18
13 19
13 20
13 21
13 22
13 23
13 24
13 25
13 26
13 27
14 15
14 16
14 17
14 18
14 19
14 20
14 21
14 22
14 23
14 24
14 25
14 26
14 27
15 16
15 17
15 18
15 19
15 20
15 21
15 22
15 23
15 24
15 25
15 26
15 27
16 17
16 18
16 19
16 20
16 21
16 22
16 23
16 24
16 25
16 26
16 27
17 18
17 19
17 20
17 21
17 22
17 23
17 24
17 25
17 26
17 27
18 19
18 20
18 21
18 22
18 23
18 24
18 25
18 26
18 27
19 20
19 21
19 22
19 23
19 24
19 25
19 26
19 27
20 21
20 22
20 23
20 24
20 25
20 26
20 27
21 22
21 23
21 24
21 25
21 26
21 27
22 23
22 24
22 25
22 26
22 27
23 24
23 25
23 26
23 27
24 25
24 26
24 27
25 26
25 27
26 27
;

DISTANCE_MATRIX = 
0 0  0
0 1  18
0 2  36
0 3  58
0 4  14
0 5  24
0 6  54
0 7  74
0 8  26
0 9  46
0 10  60
0 11  71
0 12  92
0 13  39
0 14  54
0 15  67
0 16  101
0 17  50
0 18  63
0 19  83
0 20  96
0 21  62
0 22  24
0 23  106
0 24  55
0 25  52
0 26  17
0 27  33
1 0  18
1 1  0
1 2  20
1 3  40
1 4  30
1 5  18
1 6  36
1 7  56
1 8  42
1 9  28
1 10  42
1 11  53
1 12  74
1 13  49
1 14  42
1 15  49
1 16  83
1 17  58
1 18  53
1 19  65
1 20  78
1 21  44
1 22  30
1 23  88
1 24  37
1 25  54
1 26  19
1 27  15
2 0  36
2 1  20
2 2  0
2 3  22
2 4  50
2 5  38
2 6  18
2 7  38
2 8  62
2 9  34
2 10  32
2 11  35
2 12  56
2 13  69
2 14  50
2 15  43
2 16  65
2 17  78
2 18  61
2 19  57
2 20  62
2 21  26
2 22  50
2 23  70
2 24  19
2 25  66
2 26  39
2 27  19
3 0  58
3 1  40
3 2  22
3 3  0
3 4  70
3 5  58
3 6  24
3 7  16
3 8  82
