DATFILE : bwopen0_2r_1000.dat
ENVIRONMENT : bwopen
ALGORITHM : GREEDY
RANGE : 1000
STARTING_POS : 0
N_ROBOTS : 2
GREEDY T : 4793.0
SECONDARY sumD : 5666.0
CONFIGURATIONS : 
0 0 
0 4 
0 26 
0 5 
0 22 
0 8 
0 13 
0 17 
0 25 
0 18 
0 14 
0 15 
0 10 
0 24 
0 6 
0 21 
0 3 
4 3 
26 3 
5 3 
22 3 
8 3 
8 21 
8 6 
22 6 
26 6 
5 6 
5 21 
26 21 
4 21 
4 6 
22 21 
4 7 
26 7 
5 7 
22 7 
8 7 
13 7 
17 7 
25 7 
17 21 
13 21 
13 3 
17 3 
25 3 
25 21 
17 6 
13 6 
25 6 
18 6 
14 6 
14 21 
18 21 
14 3 
18 3 
14 7 
18 7 
15 3 
10 3 
10 21 
15 21 
10 6 
15 6 
10 24 
15 24 
14 10 
18 10 
14 15 
18 15 
25 10 
25 15 
17 10 
13 10 
13 15 
17 15 
13 14 
13 18 
17 14 
17 18 
25 14 
25 18 
13 25 
17 25 
13 17 
8 13 
8 17 
8 25 
22 17 
22 13 
26 13 
5 13 
5 17 
26 17 
4 13 
4 17 
4 25 
26 25 
5 25 
22 25 
4 18 
4 14 
26 14 
5 14 
5 18 
26 18 
22 14 
22 18 
8 14 
8 18 
4 15 
4 10 
26 10 
5 10 
5 15 
26 15 
22 10 
22 15 
8 10 
8 15 
4 9 
26 9 
5 9 
22 9 
8 9 
13 9 
17 9 
25 9 
18 9 
14 9 
15 9 
10 9 
24 9 
6 9 
21 9 
3 9 
3 24 
21 24 
6 24 
21 6 
3 6 
3 21 
3 7 
21 7 
6 7 
24 7 
10 7 
15 7 
10 12 
10 16 
10 23 
10 20 
15 20 
15 23 
15 16 
15 12 
14 12 
18 12 
14 16 
14 23 
14 20 
18 20 
18 23 
18 16 
25 12 
25 16 
25 23 
25 20 
17 20 
17 23 
13 16 
13 12 
17 12 
17 16 
13 23 
13 20 
8 19 
22 19 
26 19 
5 19 
5 20 
26 20 
5 23 
26 23 
4 16 
4 12 
26 12 
5 12 
5 16 
26 16 
4 23 
4 20 
22 20 
22 23 
22 16 
22 12 
8 12 
8 16 
8 23 
8 20 
13 19 
17 19 
25 19 
18 19 
14 19 
15 19 
10 19 
24 19 
6 19 
21 19 
3 19 
