DATFILE : bwopen0_2r_1000.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR2
RANGE : 1000
STARTING_POS : 0
N_ROBOTS : 2
KUMAR2 T : 4506.0
CONFIGURATIONS :
0 0 
0 4 
0 26 
0 5 
0 22 
0 8 
0 13 
0 17 
0 25 
0 18 
0 14 
0 15 
0 10 
0 9 
4 9 
26 9 
5 9 
22 9 
8 9 
13 9 
17 9 
25 9 
18 9 
14 9 
15 9 
10 9 
24 9 
6 9 
11 9 
11 27 
11 1 
11 0 
11 4 
11 26 
11 5 
11 22 
11 8 
11 13 
11 17 
11 25 
11 18 
11 14 
11 15 
11 10 
11 24 
11 6 
11 21 
11 3 
11 7 
11 12 
11 16 
11 23 
11 20 
11 19 
6 19 
21 19 
3 19 
3 20 
3 23 
3 16 
3 12 
21 12 
21 16 
7 12 
7 16 
7 23 
7 20 
12 20 
12 23 
12 16 
16 23 
16 20 
23 20 
20 19 
23 19 
16 19 
12 19 
7 19 
21 20 
21 23 
6 20 
6 23 
6 16 
6 12 
24 12 
24 16 
24 23 
24 20 
24 19 
10 19 
15 19 
14 19 
18 19 
25 19 
17 19 
13 19 
8 19 
22 19 
5 19 
26 19 
4 19 
0 19 
0 20 
0 23 
0 16 
0 12 
4 12 
4 16 
26 12 
5 12 
5 16 
26 16 
4 23 
4 20 
26 20 
5 20 
5 23 
26 23 
22 20 
22 23 
22 16 
22 12 
8 12 
8 16 
8 23 
8 20 
13 20 
13 23 
13 16 
13 12 
17 12 
17 16 
17 23 
17 20 
25 20 
25 23 
25 16 
25 12 
18 16 
18 12 
14 12 
14 16 
18 23 
18 20 
14 23 
14 20 
15 23 
15 20 
10 20 
10 23 
15 16 
15 12 
10 12 
10 16 
9 12 
9 16 
9 23 
9 20 
9 19 
27 19 
27 20 
27 23 
27 16 
27 12 
1 12 
1 16 
1 23 
1 20 
1 19 
2 19 
2 20 
2 23 
2 16 
2 12 
2 7 
2 3 
2 21 
2 6 
2 11 
2 24 
2 10 
2 15 
2 14 
2 18 
2 25 
2 17 
2 13 
2 8 
2 22 
2 5 
2 26 
2 4 
2 0 
2 1 
2 27 
2 9 
6 27 
24 27 
9 1 
27 1 
9 27 
10 27 
15 27 
14 27 
18 27 
25 27 
17 27 
13 27 
8 27 
22 27 
5 27 
26 27 
