DATFILE : bwopen0_3r_1000.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR3
RANGE : 1000
STARTING_POS : 0
N_ROBOTS : 3
KUMAR3 sumD / cardinality : 4664.0
CONFIGURATIONS :
0 0 0 
0 4 26 
0 22 5 
4 8 5 
22 8 26 
22 13 4 
5 13 26 
1 17 26 
1 25 5 
27 25 26 
27 17 5 
9 17 22 
9 13 8 
10 17 8 
15 25 8 
10 25 22 
10 18 26 
15 18 5 
15 14 26 
10 14 5 
24 14 22 
24 18 4 
6 14 4 
6 18 22 
21 18 8 
3 14 8 
3 18 13 
21 14 13 
7 14 17 
7 18 25 
12 14 25 
12 18 17 
16 25 17 
23 25 13 
20 17 13 
23 17 4 
20 25 4 
20 18 0 
23 14 0 
16 15 0 
12 10 0 
16 10 4 
12 15 4 
7 15 22 
7 10 13 
7 24 8 
7 9 4 
21 9 26 
3 9 5 
3 24 26 
21 24 5 
7 6 5 
7 11 26 
21 11 4 
3 11 22 
2 11 5 
2 6 26 
2 21 22 
2 3 4 
2 7 0 
6 21 0 
6 3 1 
21 3 27 
21 7 1 
11 12 1 
11 16 27 
11 23 9 
11 20 10 
11 19 15 
6 19 10 
6 20 15 
21 23 15 
3 23 10 
2 23 24 
2 20 9 
2 19 27 
24 20 27 
6 23 27 
6 16 9 
24 12 9 
24 16 1 
22 23 1 
8 20 1 
13 19 1 
17 19 0 
13 11 0 
25 24 0 
18 9 1 
14 9 27 
15 10 27 
15 2 1 
18 2 14 
17 24 15 
17 6 11 
13 6 24 
13 12 2 
8 16 2 
8 12 6 
22 12 27 
26 12 19 
5 16 19 
26 16 20 
5 12 20 
22 19 20 
8 19 23 
18 16 23 
20 7 23 
16 7 12 
19 3 7 
19 21 25 
27 1 4 
27 0 8 
9 0 25 
1 0 14 
3 0 15 
21 1 10 
24 2 10 
6 2 25 
21 2 17 
7 27 13 
11 27 18 
11 24 14 
19 24 14 
19 9 18 
10 9 15 
11 8 25 
3 17 25 
3 20 14 
3 16 14 
21 16 13 
21 12 20 
3 12 23 
26 5 23 
22 5 16 
4 5 19 
13 5 15 
0 0 0 
;

MOVING ROBOT :
0 0 0 
0 1 1 
0 1 1 
1 1 0 
1 0 1 
0 1 1 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 1 0 
1 1 0 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 1 0 
0 1 1 
