DATFILE : bwopen0_3r_1000.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR3
RANGE : 1000
STARTING_POS : 0
N_ROBOTS : 3
KUMAR3 T / cardinality : 2484.0
CONFIGURATIONS :
0 0 0 
0 4 26 
0 22 5 
4 8 5 
26 8 22 
4 13 22 
26 13 5 
0 8 1 
0 13 27 
4 17 27 
22 25 27 
5 18 27 
26 14 27 
4 14 1 
26 18 1 
5 25 1 
22 17 1 
4 18 2 
22 14 2 
5 15 2 
26 10 2 
0 9 2 
0 10 6 
0 15 21 
0 14 3 
4 15 3 
22 10 3 
4 10 21 
22 15 6 
5 14 6 
22 18 21 
8 18 3 
8 14 21 
13 18 6 
8 25 6 
8 13 24 
8 17 10 
13 25 10 
17 25 15 
13 17 14 
17 18 9 
25 14 9 
13 15 9 
8 15 27 
13 19 1 
17 19 0 
25 20 0 
18 23 0 
25 16 4 
25 12 26 
17 12 5 
17 16 26 
8 7 9 
4 7 24 
26 21 24 
5 3 24 
26 3 6 
5 7 21 
1 3 7 
27 3 21 
1 21 6 
27 7 6 
9 3 11 
10 7 11 
9 12 6 
9 16 21 
24 16 6 
10 12 24 
15 16 10 
14 23 10 
18 20 10 
14 20 15 
18 19 14 
19 20 9 
19 23 24 
20 23 6 
19 16 11 
20 12 11 
19 12 21 
20 16 3 
23 12 3 
16 12 7 
23 11 21 
19 6 2 
20 21 2 
23 7 2 
23 16 1 
19 7 26 
20 7 22 
15 11 1 
9 10 1 
27 24 1 
2 11 27 
1 12 2 
0 11 24 
4 11 6 
22 9 24 
17 24 2 
13 2 3 
8 2 16 
9 27 23 
15 26 23 
10 5 19 
15 24 18 
18 11 25 
19 3 25 
20 3 17 
20 21 13 
23 21 17 
16 7 13 
23 7 25 
16 7 18 
12 7 14 
12 7 15 
16 11 14 
20 24 14 
23 11 13 
20 11 8 
23 11 22 
20 11 26 
20 11 5 
16 10 27 
16 9 5 
12 9 4 
12 27 0 
23 5 4 
16 22 0 
20 4 1 
19 4 27 
19 8 22 
12 8 13 
7 0 17 
12 22 18 
21 24 25 
6 11 17 
2 6 25 
0 15 19 
26 9 18 
0 27 20 
8 27 23 
0 0 0 
;

MOVING ROBOT :
0 0 0 
0 1 1 
0 1 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 1 
0 1 1 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 1 0 
1 1 1 
1 1 0 
1 1 0 
