DATFILE : bwopen0_2r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : GREEDY
RANGE : 500.
STARTING_POS : 0
N_ROBOTS : 2
GREEDY sumD : 3970.0
SECONDARY T : 3885.0
CONFIGURATIONS : 
0 0 
0 4 
0 26 
0 5 
0 22 
0 8 
0 13 
0 17 
0 25 
4 25 
26 25 
5 25 
5 17 
26 17 
4 17 
4 13 
26 13 
5 13 
22 13 
22 17 
8 17 
8 13 
8 25 
22 25 
22 18 
22 14 
26 14 
5 14 
5 18 
26 18 
4 18 
4 14 
4 15 
4 10 
26 10 
5 10 
5 15 
26 15 
22 15 
22 10 
8 10 
8 15 
8 14 
8 18 
13 18 
13 14 
17 14 
17 18 
25 18 
25 14 
18 14 
18 15 
18 10 
14 10 
14 15 
9 15 
9 10 
9 24 
9 6 
9 21 
9 3 
10 3 
15 3 
15 21 
10 21 
10 6 
15 6 
14 6 
18 6 
25 6 
25 24 
17 24 
13 24 
8 24 
22 24 
26 24 
5 24 
5 6 
26 6 
4 6 
22 6 
8 6 
8 2 
22 2 
26 2 
5 2 
4 2 
0 2 
0 6 
0 24 
0 10 
0 9 
4 9 
26 9 
5 9 
22 9 
8 9 
13 9 
17 9 
25 9 
18 9 
14 9 
14 24 
18 24 
18 11 
14 11 
15 11 
10 11 
24 11 
6 11 
21 11 
3 11 
7 11 
7 6 
21 6 
3 6 
3 21 
3 7 
21 7 
21 12 
21 16 
21 23 
21 20 
3 20 
3 23 
3 16 
3 12 
7 12 
7 16 
7 23 
7 20 
7 19 
21 19 
6 19 
6 20 
6 23 
6 16 
6 12 
24 12 
24 16 
24 23 
24 20 
10 20 
10 23 
10 16 
10 12 
15 12 
15 16 
15 23 
15 20 
14 20 
14 23 
14 16 
9 16 
9 12 
27 12 
27 7 
27 21 
27 3 
1 3 
1 21 
1 6 
1 24 
1 10 
1 15 
1 14 
1 18 
1 25 
1 13 
1 8 
1 22 
1 26 
1 5 
1 4 
1 0 
27 0 
27 4 
27 26 
27 5 
27 22 
27 8 
27 13 
27 17 
27 25 
27 18 
27 14 
27 15 
27 10 
27 24 
27 6 
27 11 
1 11 
5 11 
26 11 
22 11 
9 11 
9 7 
10 7 
15 7 
24 7 
24 21 
24 3 
2 3 
2 21 
2 6 
2 24 
2 10 
2 15 
2 14 
2 9 
