DATFILE : bwopen0_2r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR2
RANGE : 500
STARTING_POS : 0
N_ROBOTS : 2
KUMAR2 sumD : 3498.0
CONFIGURATIONS :
0 0 
0 1 
4 1 
26 1 
5 1 
22 1 
8 1 
13 1 
25 1 
18 1 
14 1 
15 1 
10 1 
24 1 
6 1 
21 1 
3 1 
3 27 
3 9 
21 9 
7 9 
7 27 
21 27 
6 27 
24 27 
9 27 
9 1 
27 1 
27 0 
27 4 
27 26 
27 5 
27 22 
27 8 
27 13 
27 17 
27 25 
27 18 
27 14 
27 15 
27 10 
9 10 
9 15 
10 15 
24 15 
24 10 
24 9 
6 9 
6 24 
21 24 
21 6 
7 6 
7 21 
7 3 
21 3 
6 3 
24 3 
24 7 
10 7 
15 7 
15 3 
10 3 
10 21 
10 6 
15 6 
15 21 
14 21 
14 6 
18 6 
18 24 
14 24 
14 9 
18 9 
25 9 
17 9 
13 9 
8 9 
22 9 
5 9 
26 9 
4 9 
0 9 
0 10 
0 24 
0 6 
4 6 
26 6 
5 6 
5 21 
5 11 
26 11 
22 11 
22 6 
8 6 
8 2 
22 2 
5 2 
26 2 
4 2 
0 2 
1 2 
27 2 
9 2 
14 2 
15 2 
10 2 
24 2 
6 2 
21 2 
3 2 
7 2 
12 2 
12 27 
12 9 
16 9 
23 9 
20 9 
20 27 
19 27 
19 9 
19 5 
19 22 
19 8 
19 13 
19 17 
19 25 
20 25 
20 14 
20 15 
23 15 
23 10 
16 10 
12 10 
12 15 
16 15 
16 14 
23 14 
23 18 
20 18 
19 18 
19 14 
19 15 
19 10 
20 10 
20 24 
23 24 
16 24 
12 24 
12 6 
16 6 
23 6 
20 6 
20 21 
20 3 
23 3 
16 3 
12 3 
12 7 
12 21 
16 21 
23 21 
23 7 
16 7 
16 12 
23 12 
23 16 
20 16 
20 23 
19 20 
19 23 
19 16 
19 12 
20 12 
20 7 
19 7 
19 21 
19 6 
19 2 
19 24 
19 11 
20 11 
23 11 
16 11 
12 11 
7 11 
3 11 
21 11 
6 11 
24 11 
2 11 
1 11 
27 11 
9 11 
10 11 
15 11 
14 11 
18 11 
25 11 
25 6 
25 24 
17 24 
13 24 
8 24 
22 24 
5 24 
26 24 
4 24 
4 10 
4 15 
26 15 
5 15 
5 10 
26 10 
22 10 
22 15 
8 15 
8 10 
13 10 
17 10 
17 15 
13 15 
25 15 
25 10 
18 10 
14 10 
14 15 
18 15 
18 14 
25 14 
25 18 
17 18 
17 14 
13 14 
13 18 
13 25 
17 25 
17 13 
17 8 
13 8 
13 22 
17 22 
17 26 
17 5 
13 5 
13 26 
13 4 
17 4 
25 4 
25 26 
25 5 
25 22 
25 8 
18 8 
14 8 
14 22 
14 26 
14 5 
18 5 
18 26 
18 22 
18 4 
14 4 
14 0 
25 0 
17 0 
13 0 
8 0 
8 4 
8 22 
8 5 
8 26 
22 26 
22 5 
26 5 
4 5 
4 26 
4 22 
0 22 
0 5 
0 26 
0 4 
0 0 
;

TIMETABLE : 
0 0 
0.0 18.0 
14.0 18.0 
25.0 18.0 
34.0 18.0 
46.0 18.0 
58.0 18.0 
71.0 18.0 
84.0 18.0 
97.0 18.0 
108.0 18.0 
121.0 18.0 
132.0 18.0 
145.0 18.0 
158.0 18.0 
170.0 18.0 
182.0 18.0 
182.0 33.0 
182.0 48.0 
194.0 48.0 
206.0 48.0 
206.0 63.0 
218.0 63.0 
230.0 63.0 
243.0 63.0 
258.0 63.0 
258.0 78.0 
273.0 78.0 
273.0 96.0 
273.0 110.0 
273.0 121.0 
273.0 130.0 
273.0 142.0 
273.0 154.0 
273.0 167.0 
273.0 178.0 
273.0 190.0 
273.0 203.0 
273.0 214.0 
273.0 227.0 
273.0 238.0 
288.0 238.0 
288.0 249.0 
302.0 249.0 
315.0 249.0 
315.0 260.0 
315.0 274.0 
328.0 274.0 
328.0 289.0 
340.0 289.0 
340.0 302.0 
352.0 302.0 
352.0 314.0 
352.0 326.0 
364.0 326.0 
376.0 326.0 
389.0 326.0 
389.0 342.0 
402.0 342.0 
413.0 342.0 
413.0 358.0 
424.0 358.0 
424.0 370.0 
424.0 382.0 
435.0 382.0 
435.0 394.0 
448.0 394.0 
448.0 406.0 
459.0 406.0 
459.0 419.0 
470.0 419.0 
470.0 434.0 
481.0 434.0 
494.0 434.0 
