DATFILE : bwopen0_3r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR3
RANGE : 500
STARTING_POS : 0
N_ROBOTS : 3
KUMAR3 T / cardinality : 1897.0
CONFIGURATIONS :
0 0 0 
0 4 26 
0 22 5 
4 8 5 
26 8 22 
4 13 22 
26 13 5 
0 8 1 
0 13 27 
4 17 27 
22 25 27 
5 18 27 
26 14 27 
4 14 1 
26 18 1 
5 25 1 
5 14 2 
22 15 2 
26 10 2 
4 24 2 
0 6 2 
1 11 2 
1 24 6 
1 10 21 
1 15 3 
27 10 3 
27 15 21 
9 10 6 
9 15 24 
10 14 24 
15 14 6 
14 9 21 
15 10 7 
9 11 3 
24 11 21 
6 11 7 
21 6 3 
7 24 3 
12 9 7 
16 10 12 
23 15 12 
20 15 16 
20 10 23 
19 24 16 
19 6 12 
20 21 12 
23 21 16 
19 7 20 
18 6 20 
18 24 23 
25 24 20 
13 10 19 
17 15 19 
25 14 19 
18 9 19 
17 10 18 
13 15 18 
8 10 25 
8 24 13 
22 24 17 
4 6 25 
22 11 14 
5 11 15 
26 11 25 
0 9 17 
1 9 13 
27 9 8 
14 18 8 
14 17 13 
2 8 19 
21 5 19 
11 27 19 
12 27 24 
7 27 2 
12 2 3 
7 2 21 
16 3 6 
23 3 6 
20 3 11 
23 7 11 
16 7 11 
12 11 10 
16 9 14 
23 9 14 
20 9 14 
19 22 9 
18 4 9 
25 26 9 
17 5 9 
17 26 24 
25 0 10 
25 4 15 
18 22 10 
17 8 15 
25 13 18 
5 4 10 
5 0 24 
5 26 6 
1 22 6 
27 8 6 
1 27 20 
2 9 19 
1 11 18 
0 11 14 
26 6 15 
0 19 23 
17 25 12 
0 0 0 
;

MOVING ROBOT :
0 0 0 
0 1 1 
0 1 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 1 
0 1 1 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
0 1 1 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
0 1 1 
0 1 1 
0 1 1 
1 1 0 
0 1 1 
1 1 1 
0 1 1 
1 1 0 
1 0 1 
1 1 1 
1 1 1 
1 1 1 
1 0 1 
1 0 1 
1 1 1 
1 1 0 
1 1 1 
1 1 1 
1 1 0 
1 0 1 
0 1 1 
1 1 1 
0 1 1 
1 1 0 
1 0 1 
1 1 1 
1 1 0 
0 1 1 
1 0 1 
1 1 1 
1 1 0 
