DATFILE : bwopen0_2r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : GREEDY
RANGE : 500
STARTING_POS : 0
N_ROBOTS : 2
GREEDY T : 3745.0
SECONDARY sumD : 4532.0
CONFIGURATIONS : 
0 0 
0 4 
0 26 
0 5 
0 22 
0 8 
0 13 
0 17 
0 25 
4 13 
4 17 
26 13 
5 13 
5 17 
26 17 
22 13 
22 17 
4 25 
26 25 
5 25 
22 25 
8 17 
8 13 
22 8 
26 8 
5 8 
5 22 
26 22 
4 22 
4 26 
4 5 
26 5 
0 1 
4 1 
26 1 
5 1 
22 1 
8 1 
13 1 
25 1 
18 1 
14 1 
15 1 
10 1 
24 1 
6 1 
21 1 
3 1 
3 27 
21 27 
6 27 
24 27 
10 27 
15 27 
14 27 
18 27 
25 27 
17 27 
13 27 
8 27 
22 27 
26 27 
5 27 
4 27 
0 27 
0 9 
0 10 
0 24 
0 6 
4 6 
26 6 
5 6 
5 21 
22 6 
8 6 
8 24 
22 24 
26 24 
5 24 
5 10 
26 10 
4 10 
4 15 
26 15 
5 15 
22 10 
22 15 
8 10 
8 15 
8 14 
8 18 
22 14 
26 14 
5 14 
5 18 
26 18 
4 14 
4 18 
22 18 
8 25 
13 17 
13 25 
17 25 
13 18 
13 14 
17 14 
17 18 
25 14 
25 18 
18 14 
14 15 
14 10 
18 10 
18 15 
25 10 
25 15 
17 10 
13 10 
13 15 
17 15 
13 9 
17 9 
25 9 
18 9 
14 9 
15 9 
10 9 
24 9 
6 9 
21 9 
3 9 
3 10 
3 15 
21 10 
21 15 
6 10 
6 15 
6 14 
6 18 
21 14 
7 15 
7 10 
7 24 
21 24 
3 24 
3 6 
3 21 
3 7 
21 7 
6 7 
6 21 
24 6 
10 24 
15 24 
15 10 
14 24 
18 24 
25 6 
13 24 
17 24 
25 24 
14 11 
18 11 
25 11 
15 11 
10 11 
24 11 
6 11 
21 11 
3 11 
7 11 
12 6 
16 6 
23 6 
20 6 
20 21 
23 21 
16 21 
12 21 
12 3 
16 3 
23 3 
20 3 
19 21 
19 6 
19 24 
19 10 
19 15 
20 10 
23 10 
16 10 
12 10 
12 15 
16 15 
23 15 
20 15 
19 14 
19 18 
20 14 
23 14 
16 14 
23 18 
20 18 
19 25 
19 17 
19 13 
19 8 
19 22 
19 5 
19 27 
