DATFILE : offices1_2r_1000.dat
ENVIRONMENT : office
ALGORITHM : GREEDY
RANGE : 1000
STARTING_POS : 42
N_ROBOTS : 2
GREEDY sumD : 9532.0
SECONDARY T : 9336.0
CONFIGURATIONS : 
42 42 
41 42 
36 42 
35 42 
34 42 
33 42 
32 42 
27 42 
26 42 
23 42 
2 42 
2 41 
23 41 
26 41 
27 41 
32 41 
32 36 
27 36 
26 36 
23 36 
2 36 
2 35 
23 35 
23 34 
2 34 
2 33 
23 33 
26 33 
27 33 
32 33 
32 34 
27 34 
26 34 
26 35 
27 35 
32 35 
33 35 
33 34 
35 34 
36 34 
36 35 
41 35 
41 34 
41 33 
36 33 
40 33 
40 32 
40 27 
40 26 
40 23 
40 2 
39 2 
39 23 
26 23 
26 2 
27 2 
32 2 
32 23 
27 23 
31 23 
31 2 
30 2 
30 23 
29 23 
29 2 
28 2 
28 23 
28 26 
28 27 
28 32 
28 33 
28 34 
28 35 
29 35 
29 34 
30 34 
30 35 
31 35 
31 34 
31 33 
30 33 
29 33 
29 32 
29 27 
29 26 
30 26 
30 27 
30 32 
31 32 
31 27 
31 26 
27 26 
32 26 
32 27 
32 38 
27 38 
26 38 
23 38 
2 38 
2 37 
2 43 
23 43 
23 37 
26 37 
26 43 
27 43 
27 37 
32 37 
32 43 
33 43 
33 37 
33 38 
34 38 
35 38 
35 37 
35 43 
34 43 
34 37 
36 37 
36 43 
41 43 
41 37 
41 38 
36 38 
36 39 
41 39 
42 39 
42 40 
41 40 
36 40 
35 40 
34 40 
34 39 
35 39 
33 39 
32 39 
27 39 
26 39 
38 39 
37 39 
43 39 
25 39 
25 26 
25 27 
25 32 
25 33 
25 34 
25 35 
0 35 
0 34 
0 33 
0 32 
0 27 
0 26 
0 23 
0 2 
25 2 
25 23 
25 1 
0 1 
0 25 
0 43 
0 37 
0 38 
25 38 
25 37 
25 43 
25 28 
25 29 
25 30 
25 31 
0 31 
0 30 
0 29 
0 28 
0 17 
25 17 
43 17 
37 17 
38 17 
26 17 
27 17 
32 17 
33 17 
34 17 
35 17 
36 17 
41 17 
42 17 
42 28 
42 29 
42 30 
42 31 
41 31 
41 30 
41 29 
41 28 
36 28 
36 29 
36 30 
36 31 
40 31 
40 30 
40 29 
40 28 
40 17 
39 17 
23 17 
2 17 
2 19 
23 19 
26 19 
27 19 
32 19 
33 19 
34 19 
35 19 
36 19 
41 19 
42 19 
42 16 
41 16 
36 16 
35 16 
34 16 
33 16 
32 16 
27 16 
26 16 
23 16 
2 16 
2 6 
23 6 
26 6 
27 6 
32 6 
33 6 
34 6 
35 6 
36 6 
41 6 
42 6 
42 22 
42 7 
41 7 
41 22 
36 22 
36 7 
35 7 
35 22 
34 22 
34 7 
33 7 
33 22 
32 22 
32 7 
27 7 
27 22 
26 22 
26 7 
23 7 
23 22 
2 22 
2 7 
3 7 
3 22 
3 6 
24 6 
4 6 
4 22 
4 7 
24 7 
24 22 
5 22 
5 7 
5 6 
5 16 
24 16 
4 16 
3 16 
3 19 
3 17 
3 28 
3 29 
3 30 
3 31 
3 27 
3 32 
3 33 
3 34 
3 35 
3 36 
3 41 
3 42 
24 42 
4 42 
4 41 
24 41 
5 41 
5 36 
24 36 
4 36 
4 35 
24 35 
5 35 
5 34 
24 34 
4 34 
4 33 
24 33 
5 33 
5 32 
5 27 
5 26 
5 23 
5 2 
24 2 
4 2 
4 23 
24 23 
24 26 
4 26 
4 27 
4 32 
24 32 
24 27 
24 31 
4 31 
4 30 
24 30 
5 30 
5 29 
24 29 
4 29 
4 28 
24 28 
5 28 
5 17 
24 17 
4 17 
4 19 
24 19 
5 19 
5 43 
5 37 
24 37 
24 43 
4 43 
4 37 
4 38 
24 38 
5 38 
5 39 
24 39 
4 39 
4 40 
24 40 
5 40 
5 42 
5 24 
5 4 
24 4 
3 4 
3 24 
3 5 
1 5 
1 24 
1 4 
0 4 
0 24 
0 5 
25 5 
25 24 
25 4 
25 3 
0 3 
1 3 
23 3 
2 3 
2 23 
2 1 
23 1 
26 1 
27 1 
32 1 
33 1 
34 1 
35 1 
