DATFILE : offices1_3r_1000.dat
ENVIRONMENT : office
ALGORITHM : KUMAR3
RANGE : 1000
STARTING_POS : 42
N_ROBOTS : 3
KUMAR3 T / cardinality : 4941.0
CONFIGURATIONS :
42 42 42 
5 24 41 
5 4 36 
24 4 35 
3 4 33 
3 24 32 
3 5 27 
23 5 26 
2 5 38 
2 24 26 
2 4 27 
23 4 31 
23 24 27 
26 4 32 
38 24 33 
37 4 34 
43 24 34 
37 5 35 
37 24 36 
38 4 41 
39 4 40 
23 3 39 
1 3 26 
1 23 32 
1 2 33 
23 2 34 
39 2 35 
40 2 36 
40 23 41 
40 1 42 
39 1 41 
38 1 36 
38 23 35 
38 26 34 
26 27 35 
27 31 34 
31 30 35 
30 29 34 
29 28 33 
30 28 32 
31 29 32 
27 30 33 
26 31 33 
38 27 32 
37 32 33 
43 32 35 
43 27 36 
37 26 41 
37 23 42 
43 2 42 
25 2 41 
25 23 36 
0 1 35 
25 1 34 
0 23 33 
0 2 32 
0 3 31 
25 3 30 
43 3 29 
37 3 28 
38 3 17 
39 24 17 
39 5 28 
40 5 17 
40 24 28 
40 3 19 
41 3 16 
42 24 16 
42 3 6 
42 4 7 
42 5 22 
42 41 10 
41 36 11 
42 35 11 
41 34 21 
41 35 8 
36 34 8 
36 35 21 
35 33 10 
34 32 10 
34 33 11 
36 32 22 
41 27 7 
41 31 22 
36 30 7 
35 29 7 
34 28 7 
35 28 22 
34 17 22 
33 17 7 
32 19 7 
27 19 22 
26 17 6 
23 28 6 
2 29 6 
2 30 22 
2 31 7 
23 29 22 
1 30 6 
0 27 6 
25 31 6 
0 26 7 
0 38 22 
25 37 7 
25 43 22 
43 37 6 
43 38 7 
37 39 22 
38 39 6 
26 40 22 
32 40 6 
33 41 6 
27 40 16 
26 39 16 
31 38 16 
30 37 16 
28 43 16 
17 25 16 
19 0 16 
17 1 19 
28 0 17 
28 25 19 
30 43 17 
29 37 17 
29 38 19 
30 26 19 
31 39 19 
31 40 43 
27 39 25 
30 39 0 
29 26 25 
28 27 1 
37 31 1 
43 33 39 
25 33 40 
0 34 40 
0 36 42 
0 18 5 
25 18 24 
43 18 4 
19 20 4 
19 9 24 
17 9 4 
29 9 5 
30 20 5 
29 20 24 
28 12 4 
29 21 4 
30 8 4 
30 21 24 
31 8 5 
32 21 5 
33 12 5 
32 12 41 
27 12 42 
26 20 42 
38 9 42 
43 9 41 
37 9 40 
38 20 40 
26 9 36 
39 20 36 
40 12 35 
39 12 34 
39 8 32 
23 11 30 
1 11 29 
0 10 29 
23 10 17 
2 10 28 
2 11 17 
2 21 19 
23 8 19 
1 8 16 
23 21 16 
2 12 16 
1 12 22 
1 20 7 
23 9 7 
3 9 22 
3 20 10 
3 12 11 
24 12 10 
3 8 21 
24 8 11 
4 11 10 
5 10 7 
24 22 7 
4 6 22 
24 6 15 
3 7 13 
2 15 13 
3 14 15 
4 14 13 
40 7 14 
39 7 15 
26 10 13 
27 11 13 
31 21 13 
29 8 13 
28 8 15 
17 21 15 
19 11 15 
16 10 14 
6 11 14 
22 21 14 
22 10 15 
16 11 22 
6 21 7 
16 20 6 
19 12 6 
6 8 10 
7 12 8 
22 20 8 
10 9 21 
11 9 20 
21 20 12 
8 18 9 
11 18 21 
6 34 9 
16 32 9 
6 35 18 
22 33 18 
10 27 18 
10 31 36 
10 30 40 
11 28 26 
21 28 38 
12 30 38 
20 27 37 
12 26 43 
20 23 43 
21 1 43 
8 0 25 
11 0 37 
11 25 38 
8 37 38 
20 28 31 
12 17 31 
20 17 32 
8 17 27 
10 19 37 
15 29 27 
14 29 39 
13 17 41 
13 28 36 
13 19 34 
13 16 33 
15 16 34 
14 19 33 
14 17 35 
14 28 41 
14 30 42 
15 30 41 
15 31 42 
13 32 42 
14 34 5 
15 33 36 
14 26 18 
15 23 18 
13 1 18 
13 0 20 
13 25 9 
15 0 9 
15 25 20 
14 0 12 
14 1 9 
14 2 20 
13 23 12 
15 37 12 
14 43 8 
7 16 18 
12 29 18 
8 33 42 
21 39 42 
15 1 4 
11 43 5 
16 29 36 
14 31 24 
14 32 25 
20 18 34 
18 42 28 
18 41 19 
18 36 17 
18 2 37 
35 34 3 
13 5 6 
13 24 22 
15 5 16 
14 36 6 
15 35 16 
13 35 19 
15 32 43 
14 27 37 
15 26 38 
13 38 37 
13 39 43 
14 23 38 
13 40 30 
15 40 29 
10 38 43 
10 39 25 
21 26 0 
21 27 25 
21 33 37 
12 35 25 
20 41 0 
8 40 2 
12 36 3 
9 35 2 
9 33 39 
9 31 27 
9 28 30 
18 30 31 
18 32 38 
18 39 40 
20 33 35 
11 31 32 
11 39 40 
10 1 5 
16 0 4 
19 25 5 
43 0 24 
19 25 42 
19 43 36 
17 29 42 
2 3 18 
1 24 18 
25 4 9 
26 2 8 
40 0 21 
41 29 6 
42 34 6 
1 9 12 
0 11 7 
42 42 42 
;

MOVING ROBOT :
0 0 0 
1 1 1 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
0 1 1 
1 0 1 
0 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 0 
1 1 1 
0 1 1 
1 1 1 
1 0 1 
1 1 1 
1 0 1 
0 1 1 
0 1 1 
1 0 1 
1 0 1 
1 0 1 
0 1 1 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
0 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 0 1 
1 1 0 
1 1 1 
1 1 0 
1 1 1 
1 1 1 
1 0 1 
0 1 1 
1 1 1 
0 1 1 
1 1 0 
1 0 1 
0 1 1 
1 1 1 
1 0 1 
1 1 1 
0 1 1 
0 1 1 
1 0 1 
1 0 1 
1 0 1 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
0 1 1 
0 1 1 
1 0 1 
1 1 0 
0 1 1 
0 1 1 
0 1 1 
0 1 1 
1 1 1 
1 1 0 
1 1 1 
0 1 1 
1 1 0 
0 1 1 
1 1 1 
1 1 0 
0 1 1 
1 1 1 
1 1 1 
0 1 1 
1 1 1 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 1 
1 1 0 
1 1 0 
0 1 1 
0 1 1 
1 1 1 
1 1 1 
1 1 0 
1 1 0 
1 1 1 
0 1 1 
1 1 1 
0 1 1 
1 1 1 
0 1 1 
1 1 1 
1 0 1 
1 1 1 
1 0 1 
1 1 0 
1 1 1 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
1 1 1 
1 1 1 
0 1 1 
1 1 1 
1 1 0 
0 1 1 
1 1 0 
1 1 0 
0 1 1 
1 1 1 
1 0 1 
1 1 1 
1 1 1 
1 1 0 
1 1 1 
1 0 1 
1 1 0 
0 1 1 
0 1 1 
1 0 1 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
1 0 1 
1 1 0 
1 0 1 
1 1 1 
1 1 0 
1 1 0 
0 1 1 
1 1 1 
1 1 0 
1 1 0 
1 0 1 
1 0 1 
1 1 0 
1 1 0 
1 0 1 
1 0 1 
1 1 0 
1 1 1 
1 1 0 
1 1 1 
1 0 1 
0 1 1 
1 1 1 
1 0 1 
1 1 0 
1 0 1 
1 0 1 
0 1 1 
0 1 1 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 0 1 
0 1 1 
1 1 0 
1 0 1 
0 1 1 
0 1 1 
1 0 1 
1 1 1 
1 0 1 
1 1 1 
1 1 1 
1 1 0 
1 1 1 
1 0 1 
1 1 1 
1 1 0 
1 1 1 
1 0 1 
1 1 1 
1 0 1 
1 1 1 
1 1 0 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 1 1 
1 1 0 
1 1 0 
0 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 0 
1 1 1 
1 1 1 
1 1 0 
1 1 1 
1 0 1 
1 1 1 
1 1 1 
1 0 1 
1 1 1 
1 1 0 
1 1 1 
1 1 0 
1 1 0 
0 1 1 
0 1 1 
1 1 1 
1 0 1 
1 1 0 
1 1 1 
1 1 1 
1 1 0 
1 1 0 
1 1 1 
1 0 1 
0 1 1 
1 1 0 
1 1 1 
1 1 0 
1 0 1 
1 0 1 
1 1 1 
1 1 1 
1 0 1 
1 1 1 
0 1 1 
0 1 1 
0 1 1 
1 0 1 
1 1 1 
0 1 1 
0 1 1 
0 1 1 
1 0 1 
0 1 1 
1 1 0 
1 1 1 
1 1 1 
1 1 1 
1 1 0 
1 1 0 
0 1 1 
0 1 1 
1 1 0 
0 1 1 
1 1 1 
0 1 1 
0 1 1 
1 1 1 
1 1 0 
1 1 1 
1 1 1 
1 1 0 
1 1 1 
1 1 0 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
0 1 1 
1 1 1 
1 1 1 
0 1 1 
0 1 1 
0 1 1 
1 1 1 
1 1 1 
0 1 1 
1 1 1 
1 1 1 
1 1 1 
1 0 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
0 1 1 
1 1 1 
1 1 1 
1 0 1 
1 1 1 
0 1 1 
1 1 1 
0 1 1 
0 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
0 1 1 
0 1 1 
0 1 1 
1 1 1 
0 1 1 
0 1 1 
1 1 1 
1 1 1 
0 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
0 1 1 
1 1 1 
1 1 1 
1 1 0 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 0 
1 1 1 
1 1 1 
1 1 1 
;
MEASURING ROBOT :
0 0 0 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 0 
1 1 0 
1 0 1 
1 0 1 
1 1 0 
1 1 0 
0 1 1 
0 1 1 
0 0 0 
;
TIMETABLE : 
0 0 0 
18.0 18.0 18.0 
27.0 27.0 27.0 
37.0 37.0 37.0 
50.0 50.0 50.0 
59.0 59.0 59.0 
67.0 67.0 67.0 
80.0 80.0 80.0 
88.0 88.0 88.0 
96.0 96.0 96.0 
103.0 103.0 103.0 
110.0 110.0 110.0 
117.0 117.0 117.0 
125.0 125.0 125.0 
134.0 134.0 134.0 
143.0 143.0 143.0 
150.0 150.0 150.0 
158.0 158.0 158.0 
168.0 168.0 168.0 
177.0 177.0 177.0 
189.0 189.0 189.0 
203.0 203.0 203.0 
213.0 213.0 213.0 
226.0 226.0 226.0 
235.0 235.0 235.0 
245.0 245.0 245.0 
255.0 255.0 255.0 
266.0 266.0 266.0 
275.0 275.0 275.0 
285.0 285.0 285.0 
296.0 296.0 296.0 
308.0 308.0 308.0 
318.0 318.0 318.0 
326.0 326.0 326.0 
334.0 334.0 334.0 
342.0 342.0 342.0 
350.0 350.0 350.0 
