DATFILE : offices1_2r_250.dat
ENVIRONMENT : office
ALGORITHM : GREEDY
RANGE : _250
STARTING_POS : 42
N_ROBOTS : 2
GREEDY T : 3966.0
SECONDARY sumD : 5064.0
CONFIGURATIONS : 
42 42 
41 42 
36 42 
35 41 
34 41 
33 36 
32 36 
33 41 
34 36 
35 36 
34 35 
33 34 
33 35 
32 34 
27 34 
26 34 
23 34 
2 34 
2 35 
23 35 
26 35 
27 35 
32 35 
26 33 
27 33 
32 33 
27 32 
26 27 
26 32 
23 27 
23 32 
2 27 
2 32 
2 33 
23 33 
1 32 
1 27 
1 26 
1 23 
1 2 
23 2 
26 2 
26 23 
38 2 
38 23 
38 26 
38 27 
38 32 
37 27 
37 32 
38 33 
38 34 
39 33 
39 32 
39 27 
39 26 
39 23 
39 2 
40 2 
40 23 
40 26 
40 27 
40 32 
40 33 
40 34 
40 35 
40 36 
40 41 
40 42 
39 41 
39 36 
39 35 
39 34 
1 33 
0 27 
0 32 
25 27 
25 26 
25 23 
25 2 
0 2 
0 23 
0 26 
0 38 
0 37 
0 43 
25 37 
25 43 
0 25 
1 0 
1 25 
1 43 
1 37 
1 38 
23 37 
23 43 
2 37 
3 38 
3 26 
3 27 
3 32 
3 33 
3 34 
3 35 
3 36 
3 41 
3 42 
24 41 
4 41 
4 36 
24 36 
5 36 
5 41 
5 42 
24 42 
4 42 
3 5 
3 24 
3 4 
23 4 
2 4 
2 24 
23 24 
2 5 
23 5 
26 24 
26 4 
39 4 
39 24 
39 5 
40 5 
40 24 
40 4 
39 3 
23 3 
2 3 
1 3 
1 24 
1 4 
0 3 
43 26 
37 26 
37 38 
43 38 
43 37 
25 38 
0 39 
1 39 
38 39 
37 39 
28 1 
29 1 
30 1 
31 1 
30 23 
30 2 
31 2 
31 23 
30 26 
30 27 
30 32 
29 27 
29 32 
28 27 
28 32 
29 33 
30 33 
31 33 
31 32 
31 27 
31 26 
30 38 
29 26 
29 23 
28 23 
28 26 
28 38 
28 37 
28 43 
29 37 
29 43 
30 37 
30 43 
31 37 
31 43 
30 25 
29 25 
28 25 
28 0 
29 0 
30 0 
31 0 
31 25 
17 25 
17 43 
17 37 
17 38 
17 26 
17 27 
17 31 
17 30 
17 29 
17 28 
28 29 
28 30 
28 31 
29 30 
29 31 
30 31 
29 38 
29 39 
30 39 
31 39 
31 38 
34 31 
18 33 
18 34 
18 35 
18 36 
18 41 
18 40 
36 41 
35 42 
34 42 
33 5 
33 24 
33 4 
32 4 
32 24 
31 3 
34 4 
34 24 
35 4 
35 24 
34 5 
35 5 
40 3 
5 4 
5 24 
24 4 
39 40 
19 29 
19 30 
19 31 
16 27 
16 31 
16 30 
16 29 
16 28 
16 17 
16 19 
6 16 
22 16 
7 16 
7 6 
22 6 
7 22 
7 10 
22 10 
6 10 
6 11 
6 21 
22 8 
7 8 
7 21 
22 21 
7 11 
22 11 
10 11 
10 21 
10 8 
11 8 
11 21 
21 8 
12 8 
12 21 
20 8 
20 21 
9 8 
9 21 
9 11 
20 11 
12 11 
12 10 
20 10 
8 15 
21 15 
11 15 
10 15 
22 15 
7 15 
6 14 
22 14 
7 14 
6 15 
16 13 
16 15 
16 14 
19 15 
17 15 
28 15 
29 15 
30 15 
31 15 
27 15 
32 15 
33 15 
27 22 
31 22 
30 22 
29 22 
17 6 
19 6 
17 22 
17 7 
19 7 
19 22 
16 10 
16 11 
43 15 
37 15 
38 15 
26 15 
39 15 
23 13 
26 13 
27 13 
32 13 
33 13 
34 13 
35 13 
36 13 
40 13 
39 13 
38 13 
26 14 
27 14 
32 14 
33 14 
34 14 
35 14 
31 13 
30 13 
29 13 
17 13 
17 14 
29 14 
30 14 
31 14 
39 14 
27 21 
32 21 
33 21 
34 20 
35 20 
36 20 
18 9 
18 20 
18 12 
20 9 
12 9 
12 20 
8 14 
21 14 
11 14 
10 14 
10 13 
11 13 
21 13 
8 13 
12 13 
20 13 
9 14 
20 14 
12 14 
22 13 
15 13 
14 13 
14 15 
19 17 
19 28 
19 43 
19 37 
42 42 
;
ROBOT MOVING :
0 0 
