Academic license - for non-commercial use only
DATFILE : offices1_2r_250.dat
ENVIRONMENT : office
ALGORITHM : KUMAR2
RANGE : _250
STARTING_POS : 42
N_ROBOTS : 2
KUMAR2 T : 3498.0
CONFIGURATIONS :
42 42 
5 24 
5 4 
24 4 
5 3 
24 3 
4 3 
3 2 
3 23 
3 1 
3 0 
4 1 
24 1 
5 23 
5 2 
24 23 
24 2 
4 2 
4 23 
4 26 
24 26 
5 39 
24 39 
4 39 
4 40 
24 40 
5 40 
5 41 
5 42 
24 42 
4 42 
3 42 
3 41 
3 36 
3 35 
3 34 
3 33 
3 32 
3 27 
3 31 
24 32 
4 32 
4 33 
24 33 
5 33 
5 34 
24 34 
4 34 
4 35 
24 35 
5 35 
5 36 
24 36 
4 36 
4 41 
24 41 
3 40 
3 39 
3 26 
3 38 
23 37 
23 43 
2 37 
2 38 
23 38 
26 38 
39 38 
39 37 
26 37 
26 43 
38 43 
38 37 
37 43 
38 25 
37 25 
43 25 
25 0 
43 0 
37 0 
38 0 
26 0 
39 0 
26 25 
23 25 
2 25 
2 0 
23 0 
1 0 
1 25 
1 43 
1 37 
1 38 
1 26 
1 39 
1 23 
1 2 
23 2 
26 23 
26 2 
27 23 
32 23 
32 2 
27 2 
31 2 
31 23 
30 23 
30 2 
29 23 
29 26 
29 39 
30 39 
31 39 
31 26 
31 27 
31 32 
27 32 
26 32 
26 27 
38 31 
38 27 
38 32 
37 32 
37 27 
43 31 
37 31 
37 30 
43 30 
37 29 
43 29 
37 28 
43 28 
25 28 
25 29 
25 30 
25 31 
25 27 
0 32 
0 27 
0 31 
0 30 
0 29 
0 28 
25 17 
43 19 
37 19 
43 17 
37 17 
38 17 
26 17 
27 17 
31 17 
30 17 
29 17 
28 17 
17 19 
28 19 
29 19 
30 19 
31 19 
27 16 
31 16 
30 16 
29 16 
28 16 
17 16 
19 16 
16 6 
6 22 
6 7 
22 7 
15 7 
15 22 
15 6 
13 16 
15 16 
14 16 
14 6 
14 7 
14 22 
14 15 
14 13 
15 13 
22 13 
10 13 
11 13 
21 13 
8 13 
20 13 
12 13 
9 14 
20 14 
12 14 
8 14 
21 14 
11 14 
10 14 
10 15 
11 15 
21 15 
8 15 
8 22 
8 7 
21 7 
21 22 
12 10 
20 10 
12 11 
20 11 
9 11 
9 21 
9 8 
20 8 
20 21 
18 12 
18 20 
18 9 
20 9 
12 9 
12 20 
12 21 
12 8 
21 8 
11 8 
11 21 
10 8 
10 21 
10 11 
22 10 
7 10 
7 11 
22 11 
6 21 
6 11 
6 10 
16 11 
16 10 
16 22 
16 7 
19 6 
17 6 
17 22 
17 7 
19 7 
19 22 
19 15 
17 13 
29 13 
30 13 
31 13 
27 13 
32 13 
33 13 
34 13 
35 13 
36 13 
40 13 
39 13 
23 13 
26 13 
38 13 
43 15 
37 15 
38 15 
26 15 
39 15 
39 14 
26 14 
27 14 
32 14 
33 14 
34 14 
35 14 
33 15 
32 15 
27 15 
31 15 
30 15 
29 15 
31 14 
30 14 
29 14 
17 14 
17 15 
28 15 
29 22 
30 22 
31 22 
27 22 
27 21 
32 21 
33 21 
34 20 
35 20 
36 20 
33 18 
34 18 
35 18 
36 18 
41 18 
40 18 
39 36 
39 41 
40 42 
40 41 
40 36 
40 35 
40 34 
40 33 
40 32 
40 27 
40 26 
40 39 
40 23 
40 2 
39 2 
39 23 
39 26 
39 27 
39 32 
39 33 
26 33 
38 33 
38 34 
26 35 
39 34 
39 35 
26 34 
23 35 
2 35 
2 34 
23 34 
2 33 
23 33 
1 33 
1 32 
1 27 
1 31 
1 30 
1 29 
1 28 
23 28 
26 28 
38 28 
38 29 
38 30 
26 30 
27 30 
32 30 
32 29 
27 29 
31 29 
31 30 
30 29 
29 28 
30 28 
31 28 
27 28 
32 28 
33 29 
33 30 
33 31 
33 27 
33 32 
34 32 
34 27 
34 31 
35 27 
35 32 
35 33 
34 33 
35 34 
36 35 
36 34 
41 33 
36 32 
36 33 
41 34 
41 35 
42 34 
42 35 
41 36 
42 36 
42 41 
42 42 
;

EXECUTION TIME KUMAR2: 231.720569134 seconds

-------------------------------------------------------------------
MAP: offices1_
DATE: 2017-10-24_15-28-07
