DATFILE : offices1_3r_250.dat
ENVIRONMENT : office
ALGORITHM : KUMAR3
RANGE : 250
STARTING_POS : 42
N_ROBOTS : 3
KUMAR3 sumD / cardinality : 4772.0
CONFIGURATIONS :
42 42 42 
5 41 42 
24 36 42 
4 35 42 
24 35 41 
4 34 41 
4 33 36 
24 33 34 
5 33 35 
5 34 36 
3 35 36 
3 33 41 
3 34 42 
23 34 40 
2 35 40 
23 35 39 
2 34 39 
2 33 26 
23 33 27 
23 32 26 
2 32 27 
3 32 31 
3 26 27 
3 23 38 
3 1 39 
24 1 26 
4 1 23 
24 2 23 
4 2 3 
4 39 24 
4 40 5 
3 40 24 
39 40 41 
32 40 36 
33 40 18 
36 41 18 
35 34 18 
33 32 21 
31 27 22 
31 26 15 
30 27 15 
29 32 15 
29 27 13 
30 32 13 
31 33 13 
26 34 13 
39 36 13 
39 33 15 
39 32 14 
26 30 14 
31 29 14 
27 17 14 
38 17 15 
37 28 15 
43 19 15 
29 19 22 
30 17 22 
29 17 16 
30 28 16 
31 19 16 
17 19 6 
22 16 6 
10 16 7 
11 6 7 
21 22 7 
8 15 7 
8 13 22 
21 13 10 
11 15 10 
11 14 21 
10 14 8 
12 14 20 
12 13 11 
21 15 6 
14 15 22 
14 13 16 
20 13 35 
20 11 9 
12 21 9 
8 21 20 
17 28 26 
29 28 23 
29 43 26 
29 37 38 
30 43 38 
31 43 37 
27 25 37 
32 0 37 
27 0 38 
26 25 38 
26 0 39 
31 0 23 
30 0 2 
30 25 23 
31 25 2 
29 25 1 
28 0 1 
43 0 25 
37 1 2 
38 1 32 
38 39 31 
37 39 30 
29 33 30 
31 1 30 
27 1 28 
32 25 28 
31 25 17 
31 43 28 
30 19 28 
26 19 37 
23 17 37 
23 17 43 
2 28 38 
39 29 27 
40 26 27 
35 26 27 
34 38 27 
34 31 32 
35 24 32 
26 4 32 
39 5 23 
2 5 3 
0 29 3 
1 33 38 
23 13 38 
40 13 17 
27 15 16 
33 14 6 
34 14 7 
35 14 9 
34 10 20 
18 10 12 
18 8 9 
18 20 36 
8 11 12 
10 11 22 
7 17 19 
11 17 16 
10 17 6 
21 27 6 
21 1 43 
21 5 24 
21 40 42 
13 40 15 
42 42 42 
;

MOVING ROBOT :
0 0 0 
1 1 0 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 1 0 
0 1 1 
0 1 1 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
0 1 1 
0 1 1 
1 0 1 
1 0 1 
1 1 0 
1 0 1 
0 1 1 
0 1 1 
1 0 1 
1 0 1 
1 0 1 
1 0 1 
1 1 0 
1 1 0 
1 1 1 
1 1 1 
0 1 1 
1 1 0 
1 1 0 
0 1 1 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
0 1 1 
0 1 1 
1 1 0 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 1 0 
0 1 1 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 1 0 
1 0 1 
1 1 1 
1 0 1 
0 1 1 
0 1 1 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 0 1 
1 0 1 
1 1 0 
1 0 1 
1 1 1 
1 0 1 
0 1 1 
1 0 1 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
0 1 1 
1 1 0 
1 0 1 
1 1 0 
0 0 1 
1 1 1 
1 1 1 
1 1 0 
1 0 0 
1 1 0 
0 1 1 
1 1 0 
1 1 0 
1 1 1 
1 0 1 
1 1 0 
1 1 1 
1 1 0 
1 0 1 
1 1 1 
1 1 1 
1 0 1 
1 0 1 
1 1 1 
1 0 1 
0 1 1 
0 1 1 
1 1 1 
1 0 1 
1 1 1 
1 0 1 
1 0 1 
1 1 0 
0 1 1 
0 1 1 
0 1 1 
1 0 1 
1 1 1 
;
MEASURING ROBOT :
0 0 0 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 0 1 
1 0 1 
1 1 0 
0 1 1 
0 1 1 
0 1 1 
1 0 1 
0 0 0 
;
TIMETABLE : 
0 0 0 
18.0 10.0 0 
26.0 19.0 0 
33.0 29.0 0 
40.0 29.0 10.0 
47.0 37.0 10.0 
47.0 46.0 19.0 
54.0 46.0 33.0 
62.0 46.0 41.0 
62.0 55.0 51.0 
83.0 63.0 51.0 
83.0 76.0 60.0 
83.0 85.0 70.0 
96.0 85.0 89.0 
103.0 93.0 89.0 
110.0 93.0 100.0 
117.0 101.0 100.0 
117.0 110.0 108.0 
124.0 110.0 115.0 
124.0 119.0 122.0 
131.0 119.0 129.0 
145.0 119.0 136.0 
145.0 132.0 143.0 
145.0 140.0 158.0 
145.0 150.0 170.0 
158.0 150.0 178.0 
165.0 150.0 186.0 
172.0 165.0 186.0 
179.0 165.0 199.0 
179.0 182.0 212.0 
179.0 193.0 220.0 
193.0 193.0 228.0 
216.0 193.0 244.0 
235.0 193.0 253.0 
244.0 193.0 271.0 
263.0 204.0 271.0 
273.0 227.0 271.0 
286.0 241.0 303.0 
304.0 247.0 319.0 
304.0 254.0 332.0 
312.0 261.0 332.0 
320.0 267.0 332.0 
320.0 273.0 346.0 
328.0 279.0 346.0 
336.0 288.0 346.0 
350.0 297.0 346.0 
358.0 311.0 346.0 
358.0 330.0 360.0 
358.0 339.0 374.0 
366.0 356.0 374.0 
380.0 364.0 374.0 
387.0 379.0 374.0 
402.0 379.0 388.0 
411.0 389.0 388.0 
417.0 403.0 388.0 
436.0 403.0 401.0 
444.0 415.0 401.0 
452.0 415.0 417.0 
460.0 425.0 417.0 
468.0 439.0 417.0 
491.0 439.0 431.0 
525.0 453.0 431.0 
538.0 453.0 445.0 
551.0 467.0 445.0 
561.0 479.0 445.0 
568.0 492.0 445.0 
568.0 506.0 451.0 
575.0 506.0 464.0 
585.0 520.0 464.0 
585.0 534.0 477.0 
598.0 534.0 484.0 
624.0 534.0 498.0 
624.0 552.0 521.0 
637.0 566.0 547.0 
670.0 566.0 559.0 
670.0 580.0 575.0 
714.0 580.0 639.0 
714.0 621.0 681.0 
724.0 631.0 681.0 
738.0 631.0 690.0 
795.0 683.0 752.0 
810.0 683.0 760.0 
810.0 697.0 768.0 
810.0 703.0 776.0 
818.0 709.0 776.0 
826.0 709.0 785.0 
833.0 720.0 785.0 
839.0 730.0 785.0 
845.0 730.0 794.0 
852.0 740.0 794.0 
852.0 750.0 806.0 
866.0 750.0 816.0 
874.0 750.0 823.0 
874.0 760.0 830.0 
882.0 760.0 837.0 
894.0 760.0 852.0 
903.0 770.0 852.0 
917.0 770.0 868.0 
923.0 784.0 891.0 
932.0 784.0 917.0 
932.0 804.0 930.0 
941.0 804.0 938.0 
966.0 828.0 938.0 
978.0 862.0 938.0 
985.0 862.0 951.0 
991.0 878.0 951.0 
1004.0 878.0 961.0 
1004.0 889.0 971.0 
1012.0 907.0 971.0 
1030.0 907.0 991.0 
1038.0 919.0 991.0 
1038.0 919.0 997.0 
1045.0 929.0 1012.0 
1062.0 938.0 1027.0 
1073.0 960.0 1027.0 
1099.0 960.0 1027.0 
1107.0 968.0 1027.0 
1107.0 988.0 1033.0 
1115.0 1028.0 1033.0 
1142.0 1035.0 1033.0 
1150.0 1050.0 1052.0 
1167.0 1050.0 1065.0 
1188.0 1106.0 1065.0 
1202.0 1132.0 1090.0 
1212.0 1222.0 1090.0 
1233.0 1222.0 1125.0 
1259.0 1236.0 1151.0 
1270.0 1250.0 1165.0 
1279.0 1250.0 1179.0 
1287.0 1250.0 1219.0 
1295.0 1280.0 1228.0 
1321.0 1280.0 1238.0 
1321.0 1300.0 1255.0 
1321.0 1314.0 1293.0 
1354.0 1337.0 1338.0 
1374.0 1337.0 1367.0 
1391.0 1387.0 1389.0 
1411.0 1387.0 1403.0 
1424.0 1387.0 1417.0 
1437.0 1413.0 1417.0 
1437.0 1436.0 1455.0 
1437.0 1470.0 1500.0 
1437.0 1491.0 1518.0 
1478.0 1491.0 1602.0 
1576.0 1510.0 1686.0 
;
EXECUTION TIME KUMAR3: 181.967128038 seconds

-------------------------------------------------------------------
DATFILE : offices1_3r_250.dat
ENVIRONMENT : office
ALGORITHM : KUMAR3
RANGE : 250
STARTING_POS : 42
N_ROBOTS : 3
KUMAR3 sumD / heuristic : 4772.0
CONFIGURATIONS :
42 42 42 
5 41 42 
24 36 42 
4 35 42 
24 35 41 
4 34 41 
4 33 36 
24 33 34 
5 33 35 
5 34 36 
3 35 36 
3 33 41 
3 34 42 
23 34 40 
2 35 40 
23 35 39 
2 34 39 
2 33 26 
23 33 27 
23 32 26 
2 32 27 
3 32 31 
3 26 27 
3 23 38 
3 1 39 
24 1 26 
4 1 23 
24 2 23 
4 2 3 
4 39 24 
4 40 5 
3 40 24 
39 40 41 
32 40 36 
33 40 18 
36 41 18 
35 34 18 
33 32 21 
31 27 22 
31 26 15 
30 27 15 
29 32 15 
29 27 13 
30 32 13 
31 33 13 
26 34 13 
39 36 13 
39 33 15 
39 32 14 
26 30 14 
31 29 14 
27 17 14 
38 17 15 
37 28 15 
43 19 15 
29 19 22 
30 17 22 
29 17 16 
30 28 16 
31 19 16 
17 19 6 
22 16 6 
10 16 7 
11 6 7 
21 22 7 
8 15 7 
8 13 22 
21 13 10 
11 15 10 
11 14 21 
10 14 8 
12 14 20 
12 13 11 
21 15 6 
14 15 22 
14 13 16 
20 13 35 
20 11 9 
12 21 9 
8 21 20 
17 28 26 
29 28 23 
29 43 26 
29 37 38 
30 43 38 
31 43 37 
27 25 37 
32 0 37 
27 0 38 
26 25 38 
26 0 39 
31 0 23 
30 0 2 
30 25 23 
31 25 2 
29 25 1 
28 0 1 
43 0 25 
37 1 2 
38 1 32 
38 39 31 
37 39 30 
29 33 30 
31 1 30 
27 1 28 
32 25 28 
31 25 17 
31 43 28 
30 19 28 
26 19 37 
23 17 37 
23 17 43 
2 28 38 
39 29 27 
40 26 27 
35 26 27 
34 38 27 
34 31 32 
35 24 32 
26 4 32 
39 5 23 
2 5 3 
0 29 3 
1 33 38 
23 13 38 
40 13 17 
27 15 16 
33 14 6 
34 14 7 
35 14 9 
34 10 20 
18 10 12 
18 8 9 
18 20 36 
8 11 12 
10 11 22 
7 17 19 
11 17 16 
10 17 6 
21 27 6 
21 1 43 
21 5 24 
21 40 42 
13 40 15 
42 42 42 
;

MOVING ROBOT :
0 0 0 
1 1 0 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 1 0 
0 1 1 
0 1 1 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
0 1 1 
0 1 1 
1 0 1 
1 0 1 
1 1 0 
1 0 1 
0 1 1 
0 1 1 
1 0 1 
1 0 1 
1 0 1 
1 0 1 
1 1 0 
1 1 0 
1 1 1 
1 1 1 
0 1 1 
1 1 0 
1 1 0 
0 1 1 
1 1 0 
1 1 0 
1 1 0 
1 1 0 
0 1 1 
0 1 1 
1 1 0 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 1 0 
0 1 1 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 1 0 
1 0 1 
1 1 1 
1 0 1 
0 1 1 
0 1 1 
1 1 0 
1 0 1 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 0 1 
1 0 1 
1 1 0 
1 0 1 
1 1 1 
1 0 1 
0 1 1 
1 0 1 
1 1 0 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
0 1 1 
1 1 0 
1 0 1 
1 1 0 
0 0 1 
1 1 1 
1 1 1 
1 1 0 
1 0 0 
1 1 0 
0 1 1 
1 1 0 
1 1 0 
1 1 1 
1 0 1 
1 1 0 
1 1 1 
1 1 0 
1 0 1 
1 1 1 
1 1 1 
1 0 1 
1 0 1 
1 1 1 
1 0 1 
0 1 1 
0 1 1 
1 1 1 
1 0 1 
1 1 1 
1 0 1 
1 0 1 
1 1 0 
0 1 1 
0 1 1 
0 1 1 
1 0 1 
1 1 1 
;
MEASURING ROBOT :
0 0 0 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
1 1 1 
