DATFILE : offices1_2r_500.dat
ENVIRONMENT : office
ALGORITHM : GREEDY
RANGE : _500
STARTING_POS : 42
N_ROBOTS : 2
GREEDY sumD : 9038.0
SECONDARY T : 8858.0
CONFIGURATIONS : 
42 42 
41 42 
36 42 
35 42 
34 42 
33 42 
32 42 
27 42 
26 42 
23 42 
2 42 
2 41 
23 41 
26 41 
27 41 
32 41 
32 36 
27 36 
26 36 
23 36 
2 36 
2 35 
23 35 
23 34 
2 34 
2 33 
23 33 
26 33 
27 33 
32 33 
32 34 
27 34 
26 34 
26 35 
27 35 
32 35 
33 35 
33 34 
35 34 
36 34 
36 35 
41 35 
41 34 
41 33 
36 33 
40 33 
40 32 
40 27 
40 26 
40 23 
40 2 
39 2 
39 23 
26 23 
26 2 
27 2 
32 2 
32 23 
27 23 
31 23 
31 2 
30 2 
30 23 
29 23 
29 2 
28 2 
28 23 
28 26 
28 27 
28 32 
28 33 
28 34 
28 35 
29 35 
29 34 
30 34 
30 35 
31 35 
31 34 
31 33 
30 33 
29 33 
29 32 
29 27 
29 26 
30 26 
30 27 
30 32 
31 32 
31 27 
31 26 
27 26 
32 26 
32 27 
32 38 
27 38 
26 38 
23 38 
2 38 
2 37 
2 43 
23 43 
23 37 
26 37 
26 43 
27 43 
27 37 
32 37 
32 43 
33 43 
33 37 
33 38 
34 38 
35 38 
35 37 
35 43 
34 43 
34 37 
36 37 
36 43 
36 25 
41 25 
41 0 
36 0 
35 0 
34 0 
33 0 
32 0 
27 0 
26 0 
23 0 
2 0 
2 25 
23 25 
26 25 
27 25 
32 25 
33 25 
34 25 
35 25 
35 1 
34 1 
33 1 
32 1 
27 1 
26 1 
23 1 
2 1 
2 23 
2 3 
23 3 
26 3 
27 3 
32 3 
33 3 
34 3 
35 3 
36 3 
41 3 
42 3 
42 24 
42 4 
41 4 
41 24 
41 5 
36 5 
36 24 
36 4 
35 4 
35 24 
35 5 
34 5 
34 24 
34 4 
33 4 
33 24 
33 5 
32 5 
27 5 
26 5 
23 5 
2 5 
2 24 
2 4 
23 4 
23 24 
26 24 
26 4 
27 4 
32 4 
32 24 
27 24 
31 24 
31 4 
30 4 
30 24 
30 5 
29 5 
29 24 
29 4 
28 4 
28 24 
28 5 
43 5 
37 5 
37 24 
43 24 
43 4 
37 4 
38 4 
38 24 
38 5 
39 5 
39 24 
39 4 
40 4 
40 24 
40 5 
40 41 
40 36 
40 35 
40 34 
39 34 
39 35 
39 36 
39 41 
39 42 
40 42 
5 42 
5 24 
5 4 
24 4 
3 4 
3 24 
3 5 
1 5 
1 24 
1 4 
0 4 
0 24 
0 5 
25 5 
25 24 
25 4 
25 3 
0 3 
1 3 
38 3 
37 3 
43 3 
28 3 
29 3 
30 3 
31 3 
31 1 
30 1 
29 1 
28 1 
17 1 
17 23 
17 2 
19 2 
19 23 
19 26 
19 27 
19 32 
19 33 
19 34 
19 35 
17 35 
17 34 
17 33 
17 32 
17 27 
17 26 
17 38 
17 37 
17 43 
28 43 
28 37 
28 38 
29 38 
30 38 
31 38 
31 37 
31 43 
30 43 
30 37 
29 37 
29 43 
29 25 
30 25 
31 25 
31 0 
30 0 
29 0 
28 0 
17 0 
17 25 
28 25 
19 25 
19 0 
16 0 
16 25 
16 43 
16 37 
16 38 
16 26 
16 27 
16 32 
16 33 
16 34 
16 35 
16 36 
16 40 
16 39 
16 23 
16 2 
16 3 
16 24 
16 4 
22 4 
22 24 
22 3 
10 3 
11 3 
21 3 
8 3 
8 23 
8 2 
21 2 
21 23 
21 26 
8 26 
8 27 
8 32 
21 32 
21 27 
21 31 
8 31 
8 30 
21 30 
21 29 
8 29 
8 28 
21 28 
11 28 
11 29 
11 30 
11 31 
11 27 
11 32 
11 33 
11 34 
11 35 
11 36 
11 41 
21 41 
8 41 
8 36 
21 36 
21 35 
8 35 
8 34 
21 34 
21 33 
8 33 
12 33 
12 32 
12 27 
12 26 
12 23 
12 2 
20 2 
20 23 
20 26 
20 27 
20 32 
9 32 
9 27 
9 26 
9 23 
9 39 
20 39 
12 39 
12 40 
20 40 
9 40 
