DATFILE : offices1_3r_500.dat
ENVIRONMENT : office
ALGORITHM : KUMAR3
RANGE : _500
STARTING_POS : 42
N_ROBOTS : 3
KUMAR3 sumD / cardinality : 8430.0
CONFIGURATIONS :
42 42 42 
5 41 42 
24 36 42 
4 35 42 
24 35 41 
4 34 41 
4 33 36 
24 33 34 
5 33 35 
5 32 34 
5 27 36 
41 32 36 
40 32 35 
40 27 34 
40 26 33 
39 27 33 
39 26 32 
23 26 27 
23 38 32 
2 38 27 
2 37 32 
2 43 33 
23 37 33 
23 43 34 
26 37 34 
26 43 35 
27 37 35 
31 38 35 
30 38 34 
29 38 33 
29 39 34 
30 39 35 
29 23 35 
28 2 35 
28 23 36 
29 2 36 
30 2 41 
31 23 41 
31 2 42 
30 23 42 
27 1 42 
26 1 41 
38 1 36 
26 0 36 
27 0 41 
32 0 42 
32 25 24 
27 25 4 
32 43 4 
27 43 24 
31 37 24 
31 43 5 
30 37 5 
28 38 5 
28 26 24 
28 39 4 
29 26 4 
29 27 3 
30 32 3 
31 33 3 
28 34 3 
17 35 3 
17 34 2 
17 33 1 
28 32 1 
29 31 1 
30 31 0 
30 29 25 
31 28 25 
30 28 43 
29 28 37 
29 17 43 
19 17 37 
16 17 38 
16 19 26 
16 28 27 
16 29 32 
16 30 33 
16 31 34 
6 31 32 
6 30 27 
22 30 26 
7 31 26 
22 31 27 
7 27 32 
22 33 32 
22 34 35 
7 34 36 
10 35 36 
10 33 41 
21 33 42 
8 34 42 
8 36 40 
21 41 40 
8 41 39 
21 36 39 
11 40 39 
10 40 23 
10 39 2 
22 39 23 
7 39 1 
22 40 1 
7 40 0 
6 39 0 
6 26 25 
6 38 43 
22 38 37 
7 37 43 
7 38 25 
22 43 25 
10 37 25 
10 43 0 
11 37 0 
21 38 0 
21 23 25 
11 2 25 
11 23 1 
21 2 1 
8 2 23 
12 2 26 
12 3 23 
20 3 2 
20 24 23 
9 4 23 
9 24 39 
9 5 26 
20 5 39 
12 5 40 
20 4 40 
18 24 40 
18 3 39 
18 4 38 
18 5 23 
18 42 26 
20 42 38 
9 41 38 
20 41 37 
12 36 37 
11 36 43 
11 41 28 
22 41 29 
22 36 17 
7 18 17 
7 20 28 
22 12 28 
7 12 29 
7 21 30 
6 21 29 
6 8 28 
6 12 17 
6 20 19 
22 9 19 
7 9 16 
22 20 16 
10 12 16 
11 21 16 
11 8 19 
10 21 19 
10 8 17 
11 20 17 
21 9 17 
8 9 29 
8 20 30 
21 20 31 
8 12 31 
21 12 27 
11 12 32 
10 20 32 
10 9 27 
11 9 31 
11 18 27 
21 18 32 
8 18 33 
12 18 34 
20 18 35 
9 18 36 
9 20 34 
9 12 35 
20 12 33 
8 21 35 
7 11 35 
6 11 34 
6 7 33 
6 15 35 
16 15 36 
16 13 35 
19 13 34 
28 13 33 
17 13 32 
17 15 27 
19 15 32 
19 14 27 
17 14 26 
43 14 39 
37 14 40 
43 15 40 
37 15 39 
38 15 26 
38 13 39 
37 13 1 
43 13 3 
25 15 3 
0 22 3 
0 15 23 
0 13 2 
0 14 1 
25 14 5 
1 15 5 
2 15 24 
2 22 4 
3 16 4 
1 16 24 
1 19 3 
1 30 4 
0 29 24 
0 17 4 
25 17 40 
25 19 39 
2 19 40 
2 16 18 
1 10 18 
31 15 18 
30 13 18 
31 13 36 
30 14 36 
29 14 18 
29 15 20 
30 15 9 
32 14 9 
27 13 20 
26 13 21 
23 13 7 
24 13 22 
4 13 15 
41 13 14 
42 15 14 
24 10 14 
4 21 14 
3 8 14 
5 8 13 
42 12 13 
41 12 15 
34 21 15 
33 11 15 
29 11 13 
28 10 15 
30 10 11 
38 14 11 
23 14 6 
2 14 7 
37 16 6 
43 16 8 
38 19 12 
24 30 12 
24 38 8 
4 37 8 
3 37 21 
3 38 10 
3 26 11 
5 24 21 
42 40 9 
35 0 19 
34 0 25 
35 1 25 
31 39 17 
7 8 22 
6 10 22 
6 9 13 
22 20 14 
16 12 14 
28 21 14 
31 10 14 
34 10 14 
26 10 13 
26 8 15 
1 8 6 
1 21 43 
1 20 26 
0 9 33 
25 20 36 
25 18 41 
3 36 41 
3 40 42 
3 5 24 
4 5 24 
0 5 2 
17 24 23 
19 4 31 
19 5 29 
19 40 30 
19 40 28 
16 40 29 
16 23 19 
16 0 28 
16 25 33 
19 43 33 
17 28 30 
31 38 40 
16 39 42 
12 39 4 
8 27 32 
14 33 35 
13 25 40 
15 22 18 
15 7 10 
11 22 21 
7 19 21 
7 29 10 
7 24 11 
7 1 34 
42 42 42 
;

EXECUTION TIME KUMAR3: 986.115919828 seconds

-------------------------------------------------------------------
DATFILE : offices1_3r_500.dat
ENVIRONMENT : office
ALGORITHM : KUMAR3
RANGE : _500
STARTING_POS : 42
N_ROBOTS : 3
KUMAR3 sumD / heuristic : 8430.0
CONFIGURATIONS :
42 42 42 
5 41 42 
24 36 42 
4 35 42 
24 35 41 
4 34 41 
4 33 36 
24 33 34 
5 33 35 
5 32 34 
5 27 36 
41 32 36 
40 32 35 
40 27 34 
40 26 33 
39 27 33 
39 26 32 
23 26 27 
23 38 32 
2 38 27 
2 37 32 
2 43 33 
23 37 33 
23 43 34 
26 37 34 
26 43 35 
27 37 35 
31 38 35 
30 38 34 
29 38 33 
29 39 34 
30 39 35 
29 23 35 
28 2 35 
28 23 36 
29 2 36 
30 2 41 
31 23 41 
31 2 42 
30 23 42 
27 1 42 
26 1 41 
38 1 36 
26 0 36 
27 0 41 
32 0 42 
32 25 24 
27 25 4 
32 43 4 
27 43 24 
31 37 24 
31 43 5 
30 37 5 
28 38 5 
28 26 24 
28 39 4 
29 26 4 
29 27 3 
30 32 3 
31 33 3 
28 34 3 
17 35 3 
17 34 2 
17 33 1 
28 32 1 
29 31 1 
30 31 0 
30 29 25 
31 28 25 
30 28 43 
29 28 37 
29 17 43 
19 17 37 
16 17 38 
16 19 26 
16 28 27 
16 29 32 
16 30 33 
16 31 34 
6 31 32 
6 30 27 
22 30 26 
7 31 26 
22 31 27 
7 27 32 
22 33 32 
22 34 35 
7 34 36 
10 35 36 
10 33 41 
21 33 42 
8 34 42 
8 36 40 
21 41 40 
8 41 39 
21 36 39 
11 40 39 
10 40 23 
10 39 2 
22 39 23 
7 39 1 
22 40 1 
7 40 0 
6 39 0 
6 26 25 
6 38 43 
22 38 37 
7 37 43 
7 38 25 
22 43 25 
10 37 25 
10 43 0 
11 37 0 
21 38 0 
21 23 25 
11 2 25 
11 23 1 
21 2 1 
8 2 23 
12 2 26 
12 3 23 
20 3 2 
20 24 23 
9 4 23 
9 24 39 
9 5 26 
20 5 39 
12 5 40 
20 4 40 
18 24 40 
18 3 39 
18 4 38 
18 5 23 
18 42 26 
20 42 38 
9 41 38 
20 41 37 
12 36 37 
11 36 43 
11 41 28 
22 41 29 
22 36 17 
7 18 17 
7 20 28 
22 12 28 
7 12 29 
7 21 30 
6 21 29 
6 8 28 
6 12 17 
6 20 19 
22 9 19 
7 9 16 
22 20 16 
10 12 16 
11 21 16 
11 8 19 
10 21 19 
10 8 17 
11 20 17 
21 9 17 
8 9 29 
8 20 30 
21 20 31 
8 12 31 
21 12 27 
11 12 32 
10 20 32 
10 9 27 
11 9 31 
11 18 27 
21 18 32 
8 18 33 
12 18 34 
20 18 35 
9 18 36 
9 20 34 
9 12 35 
20 12 33 
8 21 35 
7 11 35 
6 11 34 
6 7 33 
6 15 35 
16 15 36 
16 13 35 
19 13 34 
28 13 33 
17 13 32 
17 15 27 
19 15 32 
19 14 27 
17 14 26 
43 14 39 
37 14 40 
43 15 40 
37 15 39 
38 15 26 
38 13 39 
37 13 1 
43 13 3 
25 15 3 
0 22 3 
0 15 23 
0 13 2 
0 14 1 
25 14 5 
1 15 5 
2 15 24 
2 22 4 
3 16 4 
1 16 24 
1 19 3 
1 30 4 
0 29 24 
0 17 4 
25 17 40 
25 19 39 
2 19 40 
2 16 18 
1 10 18 
31 15 18 
30 13 18 
31 13 36 
30 14 36 
29 14 18 
29 15 20 
30 15 9 
32 14 9 
27 13 20 
26 13 21 
23 13 7 
24 13 22 
4 13 15 
41 13 14 
42 15 14 
24 10 14 
4 21 14 
3 8 14 
5 8 13 
42 12 13 
41 12 15 
34 21 15 
33 11 15 
29 11 13 
28 10 15 
30 10 11 
38 14 11 
23 14 6 
2 14 7 
37 16 6 
43 16 8 
38 19 12 
24 30 12 
24 38 8 
4 37 8 
3 37 21 
3 38 10 
3 26 11 
5 24 21 
42 40 9 
35 0 19 
34 0 25 
35 1 25 
31 39 17 
7 8 22 
6 10 22 
6 9 13 
22 20 14 
16 12 14 
28 21 14 
31 10 14 
34 10 14 
26 10 13 
26 8 15 
1 8 6 
1 21 43 
1 20 26 
0 9 33 
25 20 36 
25 18 41 
3 36 41 
3 40 42 
3 5 24 
4 5 24 
0 5 2 
17 24 23 
19 4 31 
19 5 29 
19 40 30 
19 40 28 
16 40 29 
16 23 19 
16 0 28 
16 25 33 
19 43 33 
17 28 30 
31 38 40 
16 39 42 
12 39 4 
8 27 32 
14 33 35 
13 25 40 
15 22 18 
15 7 10 
11 22 21 
7 19 21 
7 29 10 
7 24 11 
7 1 34 
42 42 42 
;

EXECUTION TIME KUMAR3: 984.406210899 seconds

-------------------------------------------------------------------
DATFILE : offices1_3r_500.dat
ENVIRONMENT : office
ALGORITHM : KUMAR3
RANGE : _500
STARTING_POS : 42
N_ROBOTS : 3
KUMAR3 sumD / objective : 8292.0
CONFIGURATIONS :
42 42 42 
5 41 42 
24 41 42 
4 41 42 
4 36 42 
24 36 42 
5 36 42 
5 35 42 
5 34 42 
24 34 42 
4 34 42 
4 35 42 
24 35 42 
24 35 41 
24 34 41 
24 33 41 
4 33 41 
4 32 41 
4 27 41 
4 26 41 
24 26 41 
24 27 41 
24 32 41 
5 32 41 
5 27 41 
5 26 41 
5 23 41 
5 2 41 
24 2 41 
4 2 41 
4 23 41 
24 23 41 
24 23 36 
24 2 36 
24 2 35 
24 23 35 
24 23 34 
24 2 34 
24 2 33 
24 23 33 
5 23 33 
5 26 33 
5 27 33 
5 32 33 
5 32 34 
5 27 34 
5 26 34 
5 26 35 
5 27 35 
5 32 35 
5 33 35 
5 33 34 
5 35 34 
5 36 34 
5 36 35 
5 36 33 
5 36 32 
5 36 27 
5 36 26 
5 36 38 
24 36 38 
4 36 38 
4 36 37 
4 36 43 
24 36 43 
24 36 37 
5 36 37 
5 36 43 
5 35 43 
5 35 37 
5 34 37 
5 34 43 
5 33 43 
5 33 37 
5 33 38 
5 32 38 
5 27 38 
5 26 38 
5 23 38 
5 2 38 
5 2 26 
5 2 27 
5 2 32 
5 23 32 
5 23 27 
5 23 26 
5 23 39 
5 2 39 
24 2 39 
4 2 39 
4 2 23 
4 2 1 
24 2 1 
24 23 1 
5 23 1 
5 26 1 
5 27 1 
5 32 1 
5 33 1 
5 34 1 
5 35 1 
5 36 1 
5 41 1 
5 42 1 
5 42 23 
5 42 2 
5 42 3 
24 42 3 
4 42 3 
4 41 3 
4 36 3 
4 35 3 
4 34 3 
4 33 3 
4 32 3 
4 27 3 
4 26 3 
4 23 3 
4 2 3 
4 2 24 
4 2 5 
24 2 5 
40 2 5 
40 23 5 
40 23 24 
40 23 4 
40 26 4 
40 27 4 
40 32 4 
40 33 4 
40 34 4 
40 35 4 
40 36 4 
40 41 4 
40 42 4 
39 42 4 
26 42 4 
27 42 4 
32 42 4 
33 42 4 
31 42 4 
31 42 24 
31 42 5 
30 42 5 
29 42 5 
29 42 24 
29 42 4 
30 42 4 
30 42 24 
30 41 24 
29 41 24 
28 41 24 
28 41 4 
28 36 4 
29 36 4 
30 36 4 
31 36 4 
31 41 4 
31 40 4 
30 40 4 
29 40 4 
28 40 4 
17 40 4 
17 40 24 
17 39 24 
17 26 24 
17 27 24 
17 32 24 
17 33 24 
17 34 24 
17 35 24 
28 35 24 
28 35 5 
28 34 5 
29 34 5 
30 34 5 
31 34 5 
31 35 5 
30 35 5 
29 35 5 
29 33 5 
30 33 5 
31 33 5 
31 32 5 
31 27 5 
31 26 5 
27 26 5 
32 26 5 
32 27 5 
32 30 5 
27 30 5 
26 30 5 
23 30 5 
2 30 5 
2 29 5 
23 29 5 
26 29 5 
27 29 5 
32 29 5 
32 28 5 
27 28 5 
26 28 5 
23 28 5 
2 28 5 
2 17 5 
23 17 5 
1 17 5 
1 28 5 
1 29 5 
1 30 5 
1 31 5 
23 31 5 
2 31 5 
3 31 5 
3 30 5 
3 29 5 
3 28 5 
3 17 5 
3 19 5 
23 19 5 
2 19 5 
2 16 5 
23 16 5 
26 16 5 
27 16 5 
32 16 5 
32 16 24 
32 16 4 
33 16 4 
34 16 4 
35 16 4 
36 16 4 
36 16 3 
40 16 3 
39 16 3 
38 16 3 
37 16 3 
43 16 3 
25 16 3 
0 16 3 
0 16 23 
0 16 2 
25 16 2 
25 16 23 
25 16 26 
25 16 27 
25 16 32 
25 16 33 
25 16 34 
25 16 35 
0 16 35 
0 16 34 
0 16 33 
0 16 32 
0 16 27 
0 16 26 
0 16 38 
0 16 37 
0 16 43 
25 16 43 
25 16 37 
25 16 38 
43 16 38 
37 16 38 
37 16 26 
43 16 26 
43 16 27 
37 16 27 
37 16 32 
43 16 32 
43 16 31 
37 16 31 
37 16 30 
43 16 30 
43 16 29 
37 16 29 
37 16 28 
43 16 28 
43 16 17 
37 16 17 
38 16 17 
38 16 28 
38 16 29 
38 16 30 
38 16 31 
39 16 31 
39 16 27 
39 16 32 
39 16 33 
39 16 34 
39 16 35 
39 16 36 
39 16 41 
39 16 40 
38 16 40 
37 16 40 
43 16 40 
43 16 39 
37 16 39 
38 16 39 
26 16 39 
26 6 39 
27 6 39 
32 6 39 
33 6 39 
34 6 39 
35 6 39 
35 6 23 
35 6 1 
35 22 1 
35 7 1 
34 7 1 
34 22 1 
33 22 1 
33 7 1 
32 7 1 
32 22 1 
27 22 1 
27 7 1 
26 7 1 
26 22 1 
23 22 1 
23 7 1 
2 7 1 
2 22 1 
2 10 1 
23 10 1 
26 10 1 
27 10 1 
32 10 1 
33 10 1 
34 10 1 
35 10 1 
36 10 1 
41 10 1 
40 10 1 
39 10 1 
38 10 1 
37 10 1 
43 10 1 
43 10 23 
37 10 23 
37 10 2 
43 10 2 
25 10 2 
0 10 2 
0 11 2 
0 11 23 
0 11 26 
0 11 27 
0 11 32 
0 11 33 
0 11 34 
0 11 35 
0 11 36 
0 11 41 
0 11 42 
0 21 42 
0 8 42 
0 8 41 
0 21 41 
0 21 36 
0 8 36 
0 8 35 
0 21 35 
0 21 34 
0 8 34 
0 8 33 
0 21 33 
0 21 32 
0 21 27 
0 8 27 
0 8 32 
0 8 26 
0 21 26 
0 21 23 
0 21 2 
0 8 2 
0 8 23 
0 8 1 
0 21 1 
0 11 1 
25 11 1 
25 21 1 
43 21 1 
37 21 1 
37 8 1 
43 8 1 
43 20 1 
37 20 1 
38 20 1 
26 20 1 
27 20 1 
32 20 1 
32 9 1 
27 9 1 
26 9 1 
23 9 1 
23 20 1 
2 20 1 
2 12 1 
23 12 1 
26 12 1 
27 12 1 
32 12 1 
33 12 1 
34 12 1 
35 12 1 
35 20 1 
34 20 1 
34 9 1 
35 9 1 
36 9 1 
36 20 1 
41 20 1 
