DATFILE : offices1_2r_500.dat
ENVIRONMENT : office
ALGORITHM : GREEDY
RANGE : 500
STARTING_POS : 42
N_ROBOTS : 2
GREEDY T : 8632.0
SECONDARY sumD : 10542.0
CONFIGURATIONS : 
42 42 
41 42 
36 42 
35 41 
34 41 
33 36 
32 36 
27 36 
26 36 
23 36 
2 36 
2 41 
23 41 
26 41 
27 41 
32 41 
33 41 
34 36 
35 36 
34 35 
33 34 
33 35 
32 34 
27 34 
26 34 
23 34 
2 34 
2 35 
23 35 
26 35 
27 35 
32 35 
26 33 
27 33 
32 33 
27 32 
26 27 
26 32 
23 27 
23 32 
2 27 
2 32 
2 33 
23 33 
1 32 
1 27 
1 26 
1 23 
1 2 
23 2 
26 2 
26 23 
38 2 
38 23 
38 26 
38 27 
38 32 
37 27 
43 27 
37 32 
43 32 
37 33 
43 33 
37 34 
43 34 
37 35 
43 35 
37 36 
43 36 
37 41 
38 36 
38 41 
26 42 
27 42 
32 42 
33 42 
34 42 
35 42 
36 41 
35 40 
34 40 
33 40 
32 40 
27 40 
26 40 
23 40 
2 40 
2 39 
23 39 
26 39 
27 39 
32 39 
33 39 
34 39 
35 39 
36 39 
41 39 
42 23 
42 2 
41 3 
36 3 
35 3 
34 3 
33 3 
32 3 
27 3 
26 3 
23 3 
2 3 
2 24 
2 4 
23 4 
23 24 
2 5 
23 5 
26 5 
27 5 
32 5 
27 24 
32 24 
27 4 
32 4 
33 4 
33 24 
33 5 
34 5 
35 5 
34 24 
34 4 
35 4 
35 24 
36 4 
36 24 
36 5 
41 5 
41 24 
41 4 
42 4 
42 24 
42 5 
5 4 
5 24 
24 4 
3 4 
3 24 
3 5 
3 42 
3 40 
3 39 
3 38 
3 37 
3 43 
3 25 
3 0 
23 0 
2 0 
2 25 
23 25 
26 25 
27 25 
32 25 
33 25 
34 25 
35 25 
34 0 
35 0 
36 0 
41 0 
42 0 
41 25 
36 25 
40 0 
40 25 
39 0 
26 0 
27 0 
32 0 
33 0 
33 1 
34 1 
35 1 
36 1 
41 1 
42 1 
5 0 
24 0 
4 0 
4 25 
24 25 
5 25 
5 43 
5 37 
24 37 
24 43 
4 37 
4 43 
3 28 
3 29 
3 30 
3 31 
23 29 
2 29 
2 30 
23 30 
2 31 
23 31 
26 30 
27 30 
32 30 
27 29 
32 29 
27 28 
32 28 
33 28 
34 28 
35 28 
34 29 
35 29 
34 30 
35 30 
34 31 
35 31 
36 30 
36 29 
36 28 
41 28 
41 29 
41 30 
41 31 
36 31 
40 29 
40 30 
40 31 
39 30 
26 29 
38 29 
38 30 
26 31 
27 31 
32 31 
33 30 
33 29 
33 31 
26 28 
23 28 
2 28 
2 17 
23 17 
26 17 
27 17 
32 17 
33 17 
34 17 
35 17 
36 17 
35 19 
34 19 
33 19 
32 19 
27 19 
26 19 
23 19 
2 19 
2 16 
23 16 
26 16 
27 16 
32 16 
33 16 
34 16 
35 16 
36 16 
34 6 
35 6 
34 22 
34 7 
35 7 
35 22 
36 7 
36 22 
41 22 
40 7 
40 22 
39 7 
39 22 
26 7 
26 22 
27 7 
32 7 
27 22 
32 22 
33 7 
33 22 
27 6 
32 6 
33 6 
26 6 
23 6 
1 6 
1 22 
1 7 
23 7 
23 22 
2 7 
2 22 
2 10 
23 10 
26 10 
27 10 
32 10 
33 10 
34 10 
35 10 
36 10 
41 10 
40 10 
39 10 
38 10 
37 10 
43 10 
25 10 
0 10 
0 11 
0 21 
25 11 
25 21 
43 8 
37 8 
37 21 
43 21 
37 11 
43 11 
28 10 
29 10 
30 10 
31 10 
27 11 
32 11 
33 11 
34 11 
35 11 
36 11 
41 11 
36 21 
36 8 
41 8 
41 21 
42 8 
42 21 
41 12 
36 12 
35 12 
34 12 
33 12 
32 12 
27 12 
26 12 
23 12 
2 12 
2 20 
23 20 
26 20 
27 20 
32 20 
27 9 
32 9 
33 9 
34 9 
35 9 
34 20 
35 20 
36 9 
41 9 
36 20 
41 20 
42 9 
42 20 
42 12 
5 8 
5 21 
24 8 
4 8 
4 21 
24 21 
24 11 
3 10 
3 11 
3 21 
