INPUT IGRAPH FILE: phys_graphoffices_phys_uniform_grid.graphml

RANGE_DISTANCE = 15
;

GRID_DISCRETIZATION = 11
;

N_ROBOTS = 5
;

START =
16
2
14
7
20
;

VERTEXES = 21
;

VELOCITY = 1
;

POINTS_TO_EXPLORE =
0 1
0 4
0 5
0 6
1 2
1 6
1 7
2 3
2 7
3 7
3 11
3 12
4 5
4 6
4 8
4 9
5 9
6 7
6 8
6 10
7 10
7 11
8 10
8 13
9 13
9 14
9 15
10 11
11 12
12 16
13 15
14 15
15 20
16 19
17 18
17 19
18 20
;

DISTANCE_MATRIX =
0 0  0
0 1  13
0 2  27
0 3  43
0 4  27
0 5  20
0 6  18
0 7  31
0 8  30
0 9  28
0 10  35
0 11  45
0 12  58
0 13  73
0 14  39
0 15  50
0 16  68
0 17  80
0 18  71
0 19  79
0 20  59
1 0  13
1 1  0
1 2  14
1 3  30
1 4  20
1 5  31
1 6  9
1 7  20
1 8  23
1 9  39
1 10  24
1 11  34
1 12  45
1 13  84
1 14  50
1 15  61
1 16  55
1 17  73
1 18  82
1 19  66
1 20  70
2 0  27
2 1  14
2 2  0
2 3  16
2 4  34
2 5  45
2 6  23
2 7  28
2 8  37
2 9  53
2 10  38
2 11  32
2 12  31
2 13  94
2 14  64
2 15  75
2 16  41
2 17  59
2 18  70
2 19  52
2 20  84
3 0  43
3 1  30
3 2  16
3 3  0
3 4  40
3 5  51
3 6  29
3 7  16
3 8  43
3 9  59
3 10  30
3 11  20
3 12  15
3 13  78
3 14  70
3 15  81
3 16  25
3 17  43
3 18  54
3 19  36
3 20  68
4 0  27
4 1  20
4 2  34
4 3  40
4 4  0
4 5  11
4 6  13
4 7  26
4 8  25
4 9  19
4 10  30
4 11  40
4 12  53
4 13  64
4 14  30
4 15  41
4 16  63
4 17  71
4 18  62
4 19  74
4 20  50
5 0  20
5 1  31
5 2  45
5 3  51
5 4  11
5 5  0
5 6  24
5 7  37
5 8  24
5 9  10
5 10  39
5 11  49
5 12  62
5 13  55
5 14  19
5 15  32
5 16  72
5 17  62
5 18  53
5 19  71
5 20  41
6 0  18
6 1  9
6 2  23
6 3  29
6 4  13
6 5  24
6 6  0
6 7  13
6 8  14
6 9  30
6 10  17
6 11  27
6 12  40
6 13  75
6 14  41
6 15  52
6 16  50
6 17  68
6 18  73
6 19  61
6 20  61
7 0  31
7 1  20
7 2  28
7 3  16
7 4  26
7 5  37
7 6  13
7 7  0
7 8  27
7 9  43
7 10  28
7 11  30
7 12  29
7 13  88
7 14  54
7 15  65
7 16  39
7 17  57
7 18  68
7 19  50
7 20  74
8 0  30
8 1  23
8 2  37
8 3  43
8 4  25
8 5  24
8 6  14
8 7  27
8 8  0
8 9  16
8 10  15
8 11  25
8 12  38
8 13  61
8 14  27
8 15  38
8 16  48
8 17  66
8 18  59
8 19  59
8 20  47
9 0  28
9 1  39
9 2  53
9 3  59
9 4  19
9 5  10
9 6  30
9 7  43
9 8  16
9 9  0
9 10  29
9 11  39
9 12  52
9 13  45
9 14  11
9 15  22
9 16  62
9 17  52
9 18  43
9 19  61
9 20  31
10 0  35
10 1  24
10 2  38
10 3  30
10 4  30
10 5  39
10 6  17
10 7  28
10 8  15
10 9  29
10 10  0
10 11  10
10 12  23
10 13  74
10 14  40
10 15  51
10 16  33
10 17  51
10 18  62
10 19  44
10 20  60
11 0  45
11 1  34
11 2  32
11 3  20
11 4  40
11 5  49
11 6  27
11 7  30
11 8  25
11 9  39
11 10  10
11 11  0
11 12  13
11 13  76
11 14  50
11 15  61
11 16  23
11 17  41
11 18  52
11 19  34
11 20  66
12 0  58
12 1  45
12 2  31
12 3  15
12 4  53
12 5  62
12 6  40
12 7  29
12 8  38
12 9  52
12 10  23
12 11  13
12 12  0
12 13  65
12 14  63
12 15  68
12 16  10
12 17  30
12 18  41
12 19  23
12 20  55
13 0  73
13 1  84
13 2  94
13 3  78
13 4  64
13 5  55
13 6  75
13 7  88
13 8  61
13 9  45
13 10  74
13 11  76
13 12  65
13 13  0
13 14  36
13 15  31
13 16  55
13 17  35
13 18  26
13 19  44
13 20  18
14 0  39
14 1  50
14 2  64
14 3  70
14 4  30
14 5  19
14 6  41
14 7  54
14 8  27
14 9  11
14 10  40
14 11  50
14 12  63
14 13  36
14 14  0
14 15  13
14 16  63
14 17  43
14 18  34
14 19  52
14 20  22
15 0  50
15 1  61
15 2  75
15 3  81
15 4  41
15 5  32
15 6  52
15 7  65
15 8  38
15 9  22
15 10  51
15 11  61
15 12  68
15 13  31
15 14  13
15 15  0
15 16  58
15 17  38
15 18  29
15 19  47
15 20  17
16 0  68
16 1  55
16 2  41
16 3  25
16 4  63
16 5  72
16 6  50
16 7  39
16 8  48
16 9  62
16 10  33
16 11  23
16 12  10
16 13  55
16 14  63
16 15  58
16 16  0
16 17  20
16 18  31
16 19  13
16 20  45
17 0  80
17 1  73
17 2  59
17 3  43
17 4  71
17 5  62
17 6  68
17 7  57
17 8  66
17 9  52
17 10  51
17 11  41
17 12  30
17 13  35
17 14  43
17 15  38
17 16  20
17 17  0
17 18  11
17 19  9
17 20  25
18 0  71
18 1  82
18 2  70
18 3  54
18 4  62
18 5  53
18 6  73
18 7  68
18 8  59
18 9  43
18 10  62
18 11  52
18 12  41
18 13  26
18 14  34
18 15  29
18 16  31
18 17  11
18 18  0
18 19  18
18 20  14
19 0  79
19 1  66
19 2  52
19 3  36
19 4  74
19 5  71
19 6  61
19 7  50
19 8  59
19 9  61
19 10  44
19 11  34
19 12  23
19 13  44
19 14  52
19 15  47
19 16  13
19 17  9
19 18  18
19 19  0
19 20  32
20 0  59
20 1  70
20 2  84
20 3  68
20 4  50
20 5  41
20 6  61
20 7  74
20 8  47
20 9  31
20 10  60
20 11  66
20 12  55
20 13  18
20 14  22
20 15  17
20 16  45
20 17  25
20 18  14
20 19  32
20 20  0
;
